model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0005,0.0020,0.4595,0.0060
mlpbceban,0.0035,0.0000,0.5135,0.0055
mlp01scd,0.7320,0.7035,0.1955,0.5570
mlpbcescd,0.0465,0.0385,0.3455,0.0000
