model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0175,0.0280,0.1540
toy3sss100scale_ban,0.2130,0.0830,0.3440
toy3sss100scale_abp,0.6210,0.5780,0.4210
