model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0430,0.1250,0.3970
toy3sss100scale_ban,0.3175,0.1435,0.5335
toy3sss100scale_abp,0.7775,0.7195,0.5055
