model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0205,0.0390,0.1315
toy3sss100scale_ban,0.1815,0.0805,0.2610
toy3sss100scale_abp,0.5540,0.4940,0.3805
