model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0010,0.0005,0.4660,0.0025
mlpbceban,0.0015,0.0000,0.4445,0.0050
mlp01scd,0.7225,0.6950,0.3895,0.6405
mlpbcescd,0.0870,0.0580,0.4220,0.0040
