model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0635,0.1215,0.2700
toy3sss100scale_ban,0.3640,0.1880,0.4545
toy3sss100scale_abp,0.7000,0.6320,0.5130
