model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0355,0.1750,0.2860
toy3sss100scale_ban,0.3140,0.0795,0.3725
toy3sss100scale_abp,0.7305,0.6465,0.1580
