model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0225,0.0495,0.1160
toy3sss100scale_ban,0.1295,0.0650,0.2075
toy3sss100scale_abp,0.5020,0.4365,0.2760
