model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.2130,0.4040,0.5410
toy3sss100scale_ban,0.6220,0.4875,0.6630
toy3sss100scale_abp,0.8725,0.8000,0.7420
