model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0530,0.1310,0.2545
toy3sss100scale_ban,0.3375,0.1810,0.3995
toy3sss100scale_abp,0.6340,0.5740,0.4505
