model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0005,0.0005,0.3890,0.0010
mlpbceban,0.0010,0.0005,0.4170,0.0025
mlp01scd,0.7030,0.6655,0.2120,0.5260
mlpbcescd,0.0370,0.0160,0.3055,0.0005
