model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0865,0.2610,0.3510
toy3sss100scale_ban,0.5625,0.1055,0.6015
toy3sss100scale_abp,0.8085,0.7680,0.2230
