model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0670,0.2505,0.3800
toy3sss100scale_ban,0.3350,0.1575,0.4670
toy3sss100scale_abp,0.7875,0.7595,0.2395
