model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0640,0.1645,0.3055
toy3sss100scale_ban,0.3420,0.1750,0.4520
toy3sss100scale_abp,0.6540,0.6355,0.4830
