model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0065,0.0585,0.0950
toy3sss100scale_ban,0.0970,0.0150,0.1380
toy3sss100scale_abp,0.5220,0.4695,0.0145
