model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0035,0.0280,0.0840
toy3sss100scale_ban,0.0490,0.0010,0.1155
toy3sss100scale_abp,0.3795,0.2955,0.0070
