model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0010,0.0015,0.3720,0.0055
mlpbceban,0.0000,0.0000,0.3510,0.0035
mlp01scd,0.6270,0.6025,0.2230,0.4715
mlpbcescd,0.0265,0.0330,0.2685,0.0055
