model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0080,0.0070,0.7230,0.0390
mlpbceban,0.0085,0.0035,0.7295,0.0395
mlp01scd,0.8175,0.7905,0.4565,0.8310
mlpbcescd,0.2680,0.2235,0.7040,0.1015
