model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0060,0.0355,0.1370
toy3sss100scale_ban,0.1595,0.0070,0.2305
toy3sss100scale_abp,0.5555,0.4390,0.0210
