model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0115,0.0180,0.7350,0.0480
mlpbceban,0.0365,0.0250,0.7025,0.0800
mlp01scd,0.8875,0.8460,0.7410,0.8545
mlpbcescd,0.4455,0.4185,0.7420,0.1515
