model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0780,0.2105,0.3670
toy3sss100scale_ban,0.3955,0.0580,0.4255
toy3sss100scale_abp,0.8115,0.7345,0.1650
