epoch,train acc,test acc,train loss,test loss
50.0,0.7883,0.795,0.21170002222061157,0.20499998331069946
100.0,0.8175,0.818,0.18250000476837158,0.18199998140335083
150.0,0.8333,0.828,0.16670000553131104,0.17199993133544922
200.0,0.8385,0.8325,0.16150003671646118,0.16749995946884155
250.0,0.8414,0.834,0.15860003232955933,0.16599994897842407
300.0,0.8466,0.8385,0.1534000039100647,0.1614999771118164
350.0,0.849,0.8425,0.1510000228881836,0.15749996900558472
400.0,0.8524,0.846,0.147599995136261,0.15399998426437378
450.0,0.8557,0.844,0.14430004358291626,0.15599995851516724
500.0,0.8594,0.844,0.1406000256538391,0.15599995851516724
550.0,0.8615,0.839,0.13850003480911255,0.16099995374679565
600.0,0.8627,0.841,0.1373000144958496,0.1589999794960022
650.0,0.8633,0.841,0.13670003414154053,0.1589999794960022
700.0,0.8644,0.8395,0.1356000304222107,0.1604999303817749
750.0,0.8668,0.84,0.1332000494003296,0.15999996662139893
800.0,0.866,0.8395,0.1340000033378601,0.1604999303817749
850.0,0.8668,0.8395,0.1332000494003296,0.1604999303817749
900.0,0.8703,0.8355,0.12970000505447388,0.1644999384880066
950.0,0.8725,0.838,0.1274999976158142,0.16199994087219238
1000.0,0.8738,0.846,0.12620002031326294,0.15399998426437378
