""
epoch,train_acc,test_acc
1,0.7759,0.8365
2,0.8438,0.848
3,0.8531,0.855
4,0.8553,0.8645
5,0.8619,0.867
6,0.8669,0.874
7,0.8746,0.8765
8,0.8764,0.8775
9,0.8798,0.891
10,0.8847,0.8865
11,0.8849,0.8875
12,0.8879,0.889
13,0.8898,0.8965
14,0.8914,0.896
15,0.8898,0.89
16,0.8971,0.8925
17,0.895,0.863
18,0.8989,0.893
19,0.9005,0.89
20,0.8985,0.8925
21,0.9016,0.8845
22,0.9036,0.891
23,0.8995,0.889
24,0.9012,0.8875
25,0.9053,0.8775
26,0.9055,0.889
27,0.907,0.891
28,0.9097,0.8915
29,0.9095,0.8895
30,0.9072,0.881
31,0.9045,0.888
32,0.9081,0.8645
33,0.8987,0.8875
34,0.9123,0.885
35,0.9144,0.888
36,0.9141,0.892
37,0.9138,0.891
38,0.9157,0.8885
39,0.9111,0.8875
40,0.9079,0.894
41,0.913,0.894
42,0.9187,0.884
43,0.9171,0.881
44,0.9201,0.891
45,0.9222,0.8895
46,0.9192,0.8745
47,0.924,0.892
48,0.9142,0.889
49,0.9242,0.8905
50,0.9177,0.8605
51,0.9227,0.89
52,0.9223,0.873
53,0.9262,0.877
54,0.9188,0.8775
55,0.9307,0.892
56,0.9255,0.8775
57,0.9272,0.895
58,0.9315,0.8915
59,0.9249,0.8925
60,0.9319,0.87
61,0.926,0.8835
62,0.9254,0.887
63,0.9206,0.8885
64,0.9247,0.892
65,0.933,0.892
66,0.9272,0.883
67,0.9325,0.8975
68,0.9322,0.8885
69,0.9357,0.88
70,0.9336,0.8845
71,0.9326,0.8935
72,0.9358,0.8925
73,0.9393,0.876
74,0.9365,0.887
75,0.9376,0.8935
76,0.9347,0.875
77,0.939,0.8945
78,0.9401,0.8995
79,0.9346,0.8925
80,0.9442,0.886
81,0.9361,0.887
82,0.9442,0.881
83,0.9309,0.8895
84,0.9419,0.8815
85,0.9373,0.8855
86,0.9456,0.8915
87,0.9471,0.8905
88,0.9463,0.893
89,0.946,0.8885
90,0.9454,0.891
91,0.9473,0.8855
92,0.9449,0.883
93,0.9465,0.8995
94,0.9479,0.887
95,0.952,0.8925
96,0.9491,0.891
97,0.9525,0.891
98,0.9489,0.887
99,0.9494,0.866
100,0.9502,0.892
101,0.9494,0.8945
102,0.9443,0.8925
103,0.9514,0.893
104,0.9481,0.9005
105,0.9541,0.8895
106,0.9505,0.89
107,0.956,0.885
108,0.9589,0.888
109,0.9526,0.884
110,0.9596,0.886
111,0.9536,0.8925
112,0.9587,0.8935
113,0.9554,0.8865
114,0.8847,0.8485
115,0.8945,0.874
116,0.9121,0.863
117,0.9094,0.8735
118,0.9287,0.882
119,0.935,0.888
120,0.9344,0.889
121,0.9386,0.882
122,0.9372,0.8835
123,0.9418,0.882
124,0.9392,0.8865
125,0.9443,0.884
126,0.9481,0.8855
127,0.9395,0.8855
128,0.9479,0.887
129,0.9399,0.8695
130,0.9481,0.8835
131,0.9412,0.884
132,0.9455,0.886
133,0.9487,0.879
134,0.936,0.8755
135,0.9531,0.891
136,0.9472,0.8855
137,0.9529,0.871
138,0.9358,0.887
139,0.9514,0.878
140,0.9453,0.8815
141,0.953,0.8835
142,0.9458,0.837
143,0.9468,0.8825
144,0.951,0.889
145,0.9514,0.886
146,0.9543,0.8775
147,0.9552,0.873
148,0.95,0.8865
149,0.955,0.8875
150,0.9491,0.886
151,0.9615,0.882
152,0.9565,0.881
153,0.9621,0.8765
154,0.9509,0.878
155,0.9561,0.879
156,0.9565,0.8865
157,0.9469,0.862
158,0.9594,0.885
159,0.9574,0.874
160,0.9553,0.89
161,0.962,0.888
162,0.9627,0.8835
163,0.952,0.878
164,0.9647,0.8795
165,0.9427,0.8865
166,0.9574,0.884
167,0.957,0.878
168,0.9624,0.8845
169,0.9541,0.8745
170,0.9532,0.8335
171,0.8932,0.86
172,0.9264,0.867
173,0.9309,0.8715
174,0.9261,0.875
175,0.9327,0.875
176,0.926,0.8695
177,0.9328,0.873
178,0.9277,0.87
179,0.941,0.8785
180,0.9427,0.8795
181,0.9357,0.88
182,0.9337,0.8765
183,0.941,0.8755
184,0.9448,0.882
185,0.9394,0.881
186,0.9372,0.88
187,0.9351,0.8725
188,0.9446,0.8775
189,0.9479,0.8765
190,0.947,0.885
191,0.9444,0.8805
192,0.9522,0.8445
193,0.9512,0.8625
194,0.9542,0.8765
195,0.9432,0.8845
196,0.9484,0.877
197,0.9546,0.8865
198,0.9554,0.882
199,0.941,0.859
200,0.9486,0.8805
