""
epoch,train_acc,test_acc
1,0.6686,0.7225
2,0.7466,0.7485
3,0.7678,0.7485
4,0.7779,0.7635
5,0.7884,0.778
6,0.7949,0.7715
7,0.8015,0.7785
8,0.8064,0.793
9,0.8132,0.783
10,0.8178,0.7855
11,0.8206,0.7865
12,0.8273,0.7855
13,0.8318,0.7875
14,0.832,0.799
15,0.8367,0.803
16,0.8394,0.798
17,0.8413,0.807
18,0.8428,0.8065
19,0.8498,0.8085
20,0.8481,0.808
21,0.8513,0.815
22,0.85,0.8125
23,0.8581,0.8075
24,0.8575,0.814
25,0.8549,0.8175
26,0.8634,0.819
27,0.862,0.82
28,0.8602,0.823
29,0.8654,0.8265
30,0.8682,0.8305
31,0.8654,0.818
32,0.8715,0.823
33,0.873,0.8275
34,0.88,0.8175
35,0.875,0.813
36,0.8789,0.826
37,0.8777,0.824
38,0.8773,0.827
39,0.8857,0.797
40,0.8811,0.8205
41,0.8877,0.8305
42,0.8807,0.8245
43,0.8903,0.8275
44,0.8868,0.8205
45,0.8894,0.8315
46,0.8915,0.8325
47,0.8938,0.8335
48,0.897,0.8315
49,0.8926,0.8275
50,0.897,0.821
51,0.8969,0.8355
52,0.8995,0.823
53,0.8934,0.83
54,0.8954,0.8355
55,0.8986,0.8345
56,0.9029,0.8365
57,0.8997,0.83
58,0.9041,0.8315
59,0.8993,0.8255
60,0.9062,0.834
61,0.9071,0.8275
62,0.9002,0.8285
63,0.9083,0.838
64,0.9095,0.8375
65,0.9129,0.837
66,0.9086,0.84
67,0.9129,0.8445
68,0.9133,0.836
69,0.9043,0.835
70,0.9144,0.84
71,0.9144,0.8305
72,0.9152,0.8395
73,0.9226,0.8325
74,0.9212,0.825
75,0.9194,0.8365
76,0.9222,0.8225
77,0.9184,0.8445
78,0.9157,0.802
79,0.9153,0.842
80,0.9219,0.83
81,0.9235,0.844
82,0.9267,0.834
83,0.922,0.832
84,0.9224,0.8355
85,0.9259,0.8225
86,0.9227,0.8375
87,0.9312,0.8275
88,0.9232,0.8315
89,0.9269,0.8375
90,0.9283,0.8285
91,0.9271,0.821
92,0.9298,0.838
93,0.9245,0.84
94,0.9251,0.826
95,0.9262,0.8395
96,0.9103,0.832
97,0.9191,0.837
98,0.922,0.833
99,0.9261,0.8355
100,0.9315,0.828
101,0.9285,0.801
102,0.9273,0.844
103,0.9273,0.8405
104,0.9352,0.8365
105,0.9273,0.8365
106,0.9374,0.837
107,0.9324,0.828
108,0.9284,0.822
109,0.9304,0.8395
110,0.9385,0.8305
111,0.9411,0.8405
112,0.9396,0.83
113,0.9353,0.837
114,0.9428,0.846
115,0.9413,0.8425
116,0.9404,0.842
117,0.9452,0.832
118,0.9437,0.8405
119,0.9452,0.8335
120,0.9283,0.812
121,0.8641,0.8285
122,0.9059,0.8245
123,0.8887,0.8015
124,0.9034,0.837
125,0.9072,0.8105
126,0.9021,0.836
127,0.9192,0.8235
128,0.8994,0.81
129,0.915,0.7915
130,0.9216,0.839
131,0.9122,0.826
132,0.9139,0.796
133,0.9088,0.8105
134,0.916,0.814
135,0.9157,0.8305
136,0.9214,0.8275
137,0.9224,0.815
138,0.9277,0.817
139,0.9271,0.8035
140,0.9277,0.8255
141,0.9288,0.8335
142,0.9093,0.8275
143,0.9208,0.8335
144,0.9211,0.8235
145,0.9301,0.837
146,0.9241,0.83
147,0.9328,0.837
148,0.926,0.8315
149,0.9231,0.8215
150,0.9286,0.832
151,0.9311,0.831
152,0.922,0.83
153,0.9355,0.8325
154,0.9339,0.828
155,0.9357,0.8315
156,0.9371,0.834
157,0.9364,0.826
158,0.9398,0.831
159,0.9388,0.8245
160,0.9377,0.835
161,0.9241,0.832
162,0.9362,0.8285
163,0.9416,0.839
164,0.9332,0.836
165,0.9455,0.836
166,0.9393,0.838
167,0.9437,0.826
168,0.9451,0.8215
169,0.9418,0.8305
170,0.9383,0.8355
171,0.9419,0.8215
172,0.9405,0.837
173,0.9473,0.8285
174,0.9394,0.8335
175,0.9453,0.833
176,0.9364,0.826
177,0.9367,0.828
178,0.9405,0.829
179,0.9488,0.8185
180,0.9445,0.8305
181,0.9424,0.8255
182,0.9475,0.8335
183,0.9514,0.8365
184,0.9458,0.8295
185,0.95,0.84
186,0.9514,0.822
187,0.9496,0.8275
188,0.9474,0.832
189,0.9442,0.832
190,0.9367,0.816
191,0.9443,0.8255
192,0.9506,0.832
193,0.9532,0.832
194,0.9529,0.835
195,0.9501,0.83
196,0.9485,0.837
197,0.952,0.8295
198,0.9524,0.8345
199,0.9564,0.8405
200,0.9557,0.835
