""
epoch,train_acc,test_acc
1,0.6702,0.7225
2,0.7346,0.706
3,0.7615,0.759
4,0.7703,0.738
5,0.772,0.779
6,0.786,0.777
7,0.7923,0.7725
8,0.8015,0.787
9,0.8026,0.783
10,0.8097,0.7795
11,0.8065,0.7745
12,0.8104,0.7915
13,0.819,0.79
14,0.8167,0.7995
15,0.8295,0.7995
16,0.8181,0.799
17,0.8231,0.7935
18,0.8347,0.7805
19,0.8353,0.8
20,0.8351,0.7985
21,0.8343,0.805
22,0.8318,0.803
23,0.8432,0.79
24,0.8447,0.8055
25,0.8492,0.8015
26,0.8473,0.732
27,0.847,0.7785
28,0.8435,0.8085
29,0.8451,0.78
30,0.8524,0.785
31,0.8537,0.81
32,0.8542,0.803
33,0.8558,0.7915
34,0.8577,0.804
35,0.8596,0.787
36,0.8658,0.7975
37,0.8626,0.801
38,0.8653,0.8045
39,0.8678,0.7845
40,0.8644,0.805
41,0.8582,0.783
42,0.8658,0.808
43,0.8725,0.803
44,0.8774,0.807
45,0.8703,0.805
46,0.8754,0.812
47,0.8776,0.8115
48,0.8655,0.7825
49,0.8764,0.803
50,0.8806,0.8035
51,0.8817,0.791
52,0.8857,0.8075
53,0.8821,0.788
54,0.8857,0.819
55,0.8585,0.7915
56,0.8832,0.81
57,0.8819,0.796
58,0.8814,0.8055
59,0.885,0.802
60,0.8938,0.813
61,0.8867,0.806
62,0.8858,0.8065
63,0.8939,0.8035
64,0.8938,0.8045
65,0.8925,0.8065
66,0.8895,0.8045
67,0.881,0.798
68,0.9004,0.804
69,0.8894,0.806
70,0.8925,0.7975
71,0.9067,0.7995
72,0.8984,0.802
73,0.9016,0.7875
74,0.9004,0.7365
75,0.8949,0.796
76,0.9016,0.8
77,0.888,0.7725
78,0.8877,0.8065
79,0.9036,0.7825
80,0.9081,0.807
81,0.905,0.804
82,0.8998,0.8075
83,0.8896,0.8045
84,0.9048,0.798
85,0.9145,0.8005
86,0.9091,0.784
87,0.9126,0.807
88,0.9074,0.7665
89,0.9124,0.811
90,0.9219,0.7915
91,0.9079,0.8005
92,0.9114,0.7765
93,0.9187,0.793
94,0.907,0.7695
95,0.8774,0.7845
96,0.91,0.7275
97,0.9091,0.789
98,0.9246,0.8075
99,0.9232,0.805
100,0.9215,0.757
101,0.9167,0.8045
102,0.9219,0.807
103,0.8844,0.791
104,0.9268,0.8035
105,0.9105,0.7975
106,0.9315,0.8065
107,0.932,0.7985
108,0.9001,0.792
109,0.9163,0.7985
110,0.9223,0.801
111,0.9238,0.793
112,0.9192,0.7825
113,0.9285,0.8045
114,0.9031,0.7875
115,0.9222,0.7765
116,0.923,0.803
117,0.93,0.7865
118,0.9253,0.786
119,0.9294,0.7875
120,0.9254,0.798
121,0.9142,0.799
122,0.9346,0.7975
123,0.9395,0.804
124,0.9352,0.797
125,0.9296,0.6455
126,0.8109,0.769
127,0.89,0.798
128,0.9005,0.7825
129,0.9028,0.7965
130,0.9041,0.789
131,0.9149,0.7975
132,0.9176,0.7905
133,0.9249,0.8035
134,0.921,0.794
135,0.9301,0.8005
136,0.9116,0.801
137,0.9211,0.793
138,0.9279,0.7845
139,0.8948,0.7715
140,0.8507,0.731
141,0.8973,0.7885
142,0.9177,0.7995
143,0.9138,0.7935
144,0.9115,0.7345
145,0.9184,0.795
146,0.9274,0.787
147,0.9298,0.7915
148,0.8909,0.7705
149,0.9051,0.8025
150,0.9016,0.747
151,0.8956,0.7435
152,0.8643,0.775
153,0.9001,0.7745
154,0.9047,0.769
155,0.9055,0.7845
156,0.9051,0.773
157,0.9052,0.7955
158,0.9076,0.785
159,0.9115,0.7655
160,0.9124,0.792
161,0.9115,0.791
162,0.9204,0.7865
163,0.9068,0.7835
164,0.9229,0.7805
165,0.9131,0.797
166,0.919,0.742
167,0.9199,0.7675
168,0.9223,0.7905
169,0.9172,0.789
170,0.9169,0.789
171,0.9341,0.792
172,0.9286,0.7905
173,0.9227,0.753
174,0.9241,0.7895
175,0.9171,0.787
176,0.924,0.789
177,0.9298,0.7845
178,0.9349,0.7915
179,0.9204,0.776
180,0.9359,0.794
181,0.9232,0.792
182,0.9269,0.7815
183,0.9359,0.778
184,0.8752,0.7615
185,0.8846,0.775
186,0.9012,0.78
187,0.9096,0.785
188,0.9343,0.7815
189,0.9394,0.794
190,0.9504,0.793
191,0.9303,0.791
192,0.9383,0.7895
193,0.9513,0.798
194,0.95,0.787
195,0.9516,0.7945
196,0.9283,0.7605
197,0.9314,0.7805
198,0.9214,0.7435
199,0.9515,0.7965
200,0.9546,0.796
