epoch,train acc,test acc,train loss,test loss
50.0,0.8388,0.8195,0.16120004653930664,0.18049997091293335
100.0,0.8599,0.8365,0.14010000228881836,0.16349995136260986
150.0,0.8731,0.841,0.12690001726150513,0.1589999794960022
200.0,0.8784,0.8385,0.12160003185272217,0.1614999771118164
250.0,0.8823,0.8385,0.11770004034042358,0.1614999771118164
300.0,0.8857,0.839,0.11430001258850098,0.16099995374679565
350.0,0.8878,0.8515,0.11220002174377441,0.1484999656677246
400.0,0.8896,0.848,0.11040002107620239,0.15199995040893555
450.0,0.8932,0.855,0.10680001974105835,0.14499998092651367
500.0,0.895,0.853,0.10500001907348633,0.14699995517730713
550.0,0.8976,0.853,0.10240000486373901,0.14699995517730713
600.0,0.9016,0.8565,0.09839999675750732,0.1434999704360962
650.0,0.9029,0.86,0.09710001945495605,0.13999998569488525
700.0,0.9032,0.8575,0.09680002927780151,0.14249998331069946
750.0,0.904,0.8555,0.09600001573562622,0.14449995756149292
800.0,0.9043,0.857,0.09570002555847168,0.14299994707107544
850.0,0.907,0.856,0.09299999475479126,0.14399993419647217
900.0,0.9064,0.8585,0.09360003471374512,0.14149993658065796
950.0,0.9083,0.8565,0.09170001745223999,0.1434999704360962
1000.0,0.9087,0.857,0.09130001068115234,0.14299994707107544
