""
epoch,train_acc,test_acc
1,0.6258,0.6945
2,0.6846,0.7225
3,0.7064,0.738
4,0.7193,0.732
5,0.7243,0.743
6,0.7285,0.7525
7,0.7368,0.754
8,0.7392,0.753
9,0.7384,0.751
10,0.7499,0.761
11,0.7452,0.763
12,0.7464,0.756
13,0.7569,0.7625
14,0.7605,0.7625
15,0.7646,0.7715
16,0.7662,0.769
17,0.7695,0.7555
18,0.7751,0.7685
19,0.7776,0.7585
20,0.7781,0.775
21,0.7842,0.771
22,0.7839,0.7565
23,0.786,0.774
24,0.7904,0.7785
25,0.7895,0.77
26,0.7946,0.7775
27,0.7918,0.7765
28,0.8007,0.774
29,0.8016,0.773
30,0.8034,0.7775
31,0.8073,0.781
32,0.8086,0.775
33,0.8092,0.7745
34,0.8117,0.7705
35,0.811,0.7665
36,0.8145,0.788
37,0.8163,0.783
38,0.8193,0.7615
39,0.8187,0.7705
40,0.823,0.792
41,0.8224,0.7845
42,0.8255,0.772
43,0.8292,0.7865
44,0.8262,0.79
45,0.8265,0.787
46,0.8318,0.7825
47,0.834,0.787
48,0.835,0.792
49,0.8409,0.788
50,0.8395,0.7945
51,0.8425,0.79
52,0.8415,0.7855
53,0.8426,0.787
54,0.848,0.7775
55,0.8456,0.781
56,0.8494,0.7875
57,0.8472,0.7785
58,0.8486,0.7835
59,0.8509,0.7925
60,0.8509,0.7555
61,0.8541,0.7955
62,0.8566,0.786
63,0.8591,0.787
64,0.8584,0.7825
65,0.8605,0.7855
66,0.8539,0.786
67,0.8628,0.7865
68,0.8586,0.7955
69,0.865,0.7915
70,0.8626,0.7905
71,0.8586,0.798
72,0.8537,0.784
73,0.8653,0.785
74,0.8662,0.7895
75,0.8711,0.785
76,0.8692,0.785
77,0.8672,0.793
78,0.872,0.7855
79,0.8694,0.796
80,0.8708,0.796
81,0.8684,0.8005
82,0.8734,0.783
83,0.8722,0.8045
84,0.8675,0.796
85,0.8724,0.8015
86,0.8751,0.7965
87,0.8804,0.8105
88,0.8767,0.791
89,0.8764,0.7585
90,0.8818,0.779
91,0.8713,0.779
92,0.8809,0.7855
93,0.8874,0.8005
94,0.8861,0.773
95,0.8716,0.799
96,0.8786,0.803
97,0.8898,0.7905
98,0.8802,0.794
99,0.883,0.794
100,0.8941,0.8055
101,0.8774,0.776
102,0.8845,0.7845
103,0.8963,0.772
104,0.8935,0.802
105,0.8952,0.7945
106,0.8955,0.791
107,0.8888,0.8015
108,0.8984,0.782
109,0.8944,0.7985
110,0.9028,0.8075
111,0.9035,0.7915
112,0.8942,0.8
113,0.9067,0.792
114,0.9009,0.7885
115,0.9014,0.788
116,0.9081,0.7895
117,0.9047,0.7905
118,0.8901,0.8065
119,0.9055,0.798
120,0.9042,0.7925
121,0.9041,0.7975
122,0.9063,0.793
123,0.9012,0.7785
124,0.8914,0.802
125,0.9042,0.7945
126,0.8994,0.788
127,0.9026,0.792
128,0.907,0.7815
129,0.9002,0.767
130,0.9095,0.7905
131,0.9149,0.7915
132,0.9114,0.79
133,0.9086,0.7895
134,0.913,0.7915
135,0.9127,0.8035
136,0.9207,0.7895
137,0.915,0.7945
138,0.911,0.798
139,0.916,0.7895
140,0.921,0.797
141,0.9188,0.802
142,0.9122,0.792
143,0.9134,0.802
144,0.922,0.797
145,0.9278,0.797
146,0.9256,0.793
147,0.9127,0.7975
148,0.9147,0.7915
149,0.9207,0.8025
150,0.9279,0.791
151,0.9269,0.7935
152,0.9046,0.776
153,0.8819,0.789
154,0.873,0.7725
155,0.8545,0.739
156,0.8633,0.785
157,0.8776,0.7925
158,0.8853,0.7895
159,0.8783,0.7795
160,0.8762,0.7865
161,0.8782,0.7785
162,0.8756,0.7955
163,0.8806,0.7905
164,0.8894,0.763
165,0.8898,0.7665
166,0.8911,0.785
167,0.875,0.792
168,0.8916,0.7895
169,0.8951,0.7925
170,0.8932,0.797
171,0.8867,0.8005
172,0.8854,0.797
173,0.8937,0.792
174,0.8855,0.792
175,0.8873,0.789
176,0.8885,0.803
177,0.8984,0.7955
178,0.8966,0.808
179,0.9063,0.794
180,0.9061,0.7935
181,0.9041,0.7975
182,0.9129,0.7895
183,0.8947,0.7955
184,0.905,0.8065
185,0.9088,0.7825
186,0.9015,0.792
187,0.9114,0.801
188,0.9125,0.799
189,0.9044,0.8075
190,0.917,0.801
191,0.9166,0.8045
192,0.9047,0.8055
193,0.9163,0.805
194,0.9114,0.799
195,0.9161,0.791
196,0.9109,0.792
197,0.9195,0.7995
198,0.9122,0.784
199,0.905,0.788
200,0.9165,0.805
