epoch,train acc,test acc,train loss,test loss
50.0,0.8142,0.7875,0.18580001592636108,0.2124999761581421
100.0,0.8418,0.8145,0.15820002555847168,0.18549996614456177
150.0,0.8657,0.84,0.13429999351501465,0.15999996662139893
200.0,0.8757,0.84,0.12430000305175781,0.15999996662139893
250.0,0.8799,0.8415,0.12010002136230469,0.15849995613098145
300.0,0.8868,0.8545,0.11320000886917114,0.14549994468688965
350.0,0.8895,0.8535,0.1105000376701355,0.14649993181228638
400.0,0.892,0.862,0.10800004005432129,0.13799995183944702
450.0,0.8952,0.865,0.10480004549026489,0.13499993085861206
500.0,0.9,0.8785,0.10000002384185791,0.12149995565414429
550.0,0.9044,0.8745,0.09560000896453857,0.12549996376037598
600.0,0.9063,0.8755,0.09370005130767822,0.12449997663497925
650.0,0.907,0.8725,0.09299999475479126,0.12749993801116943
700.0,0.9074,0.8725,0.09260004758834839,0.12749993801116943
750.0,0.9085,0.869,0.09150004386901855,0.13099998235702515
800.0,0.9113,0.865,0.08869999647140503,0.13499993085861206
850.0,0.9117,0.87,0.08830004930496216,0.12999993562698364
900.0,0.9147,0.868,0.0853000283241272,0.13199996948242188
950.0,0.9155,0.8675,0.0845000147819519,0.13249993324279785
1000.0,0.9145,0.8785,0.08550000190734863,0.12149995565414429
