""
epoch,train_acc,test_acc
1,0.656,0.742
2,0.7793,0.786
3,0.8026,0.795
4,0.8152,0.809
5,0.8232,0.812
6,0.8273,0.821
7,0.8316,0.8255
8,0.8364,0.836
9,0.8396,0.83
10,0.8438,0.8355
11,0.8447,0.839
12,0.8519,0.8405
13,0.8534,0.8395
14,0.8558,0.8385
15,0.8594,0.8365
16,0.8615,0.85
17,0.8649,0.847
18,0.8697,0.8515
19,0.8699,0.8535
20,0.8725,0.8545
21,0.8773,0.85
22,0.8758,0.851
23,0.88,0.8525
24,0.8821,0.8515
25,0.8845,0.845
26,0.8845,0.852
27,0.8871,0.8525
28,0.8879,0.8635
29,0.8911,0.853
30,0.8913,0.86
31,0.8945,0.8565
32,0.8984,0.8605
33,0.8969,0.8635
34,0.8999,0.861
35,0.9043,0.857
36,0.9025,0.854
37,0.908,0.8575
38,0.9068,0.8635
39,0.9079,0.856
40,0.908,0.8635
41,0.9089,0.8685
42,0.9116,0.866
43,0.9119,0.874
44,0.9128,0.866
45,0.9175,0.8665
46,0.9182,0.8625
47,0.9193,0.864
48,0.9217,0.867
49,0.9193,0.8715
50,0.9235,0.8715
51,0.9257,0.864
52,0.9246,0.8685
53,0.9268,0.8615
54,0.9264,0.8735
55,0.9242,0.869
56,0.9293,0.878
57,0.9295,0.866
58,0.9307,0.8745
59,0.9311,0.8735
60,0.9276,0.8695
61,0.936,0.8745
62,0.9379,0.8695
63,0.9401,0.876
64,0.9397,0.8785
65,0.9381,0.878
66,0.9383,0.871
67,0.941,0.874
68,0.9441,0.8745
69,0.9451,0.872
70,0.9394,0.871
71,0.9441,0.8755
72,0.9425,0.8665
73,0.9426,0.8715
74,0.9463,0.876
75,0.948,0.87
76,0.9475,0.865
77,0.947,0.877
78,0.9495,0.8765
79,0.9475,0.877
80,0.952,0.873
81,0.9524,0.8775
82,0.9521,0.875
83,0.9524,0.879
84,0.9554,0.874
85,0.9542,0.876
86,0.9546,0.8755
87,0.9561,0.8805
88,0.9547,0.8765
89,0.9576,0.875
90,0.9539,0.878
91,0.9581,0.8725
92,0.9572,0.8755
93,0.9565,0.8785
94,0.9618,0.8785
95,0.9598,0.8795
96,0.9609,0.8795
97,0.9614,0.876
98,0.9623,0.878
99,0.9639,0.875
100,0.9607,0.875
101,0.9627,0.886
102,0.9628,0.8775
103,0.961,0.868
104,0.9627,0.881
105,0.9673,0.881
106,0.9665,0.879
107,0.9662,0.8825
108,0.9647,0.875
109,0.9681,0.877
110,0.9668,0.879
111,0.9663,0.879
112,0.968,0.8775
113,0.9655,0.8825
114,0.9686,0.8725
115,0.9687,0.873
116,0.9691,0.8835
117,0.9673,0.8765
118,0.9705,0.885
119,0.9707,0.8785
120,0.9706,0.875
121,0.9705,0.8835
122,0.9725,0.8805
123,0.9705,0.882
124,0.971,0.88
125,0.9746,0.8805
126,0.9727,0.8805
127,0.9725,0.885
128,0.9728,0.8815
129,0.9734,0.8795
130,0.9731,0.8795
131,0.9732,0.881
132,0.9729,0.8775
133,0.9753,0.882
134,0.9762,0.883
135,0.9739,0.882
136,0.976,0.874
137,0.9763,0.883
138,0.9762,0.8775
139,0.9767,0.8825
140,0.9772,0.8825
141,0.9776,0.8785
142,0.9778,0.881
143,0.9783,0.884
144,0.9777,0.883
145,0.9796,0.882
146,0.9799,0.8815
147,0.9798,0.8785
148,0.9803,0.8815
149,0.979,0.884
150,0.9798,0.877
151,0.9809,0.882
152,0.9811,0.882
153,0.9801,0.882
154,0.9811,0.8845
155,0.9788,0.881
156,0.978,0.8805
157,0.9815,0.8765
158,0.9822,0.8775
159,0.9804,0.8785
160,0.9823,0.8795
161,0.9815,0.882
162,0.9808,0.8775
163,0.9813,0.8765
164,0.9824,0.8805
165,0.9818,0.878
166,0.9832,0.8765
167,0.9823,0.8785
168,0.9836,0.876
169,0.9836,0.8835
170,0.9839,0.878
171,0.9838,0.8755
172,0.9845,0.879
173,0.9827,0.875
174,0.9837,0.878
175,0.9834,0.885
176,0.9845,0.878
177,0.9846,0.8765
178,0.9844,0.879
179,0.9845,0.8795
180,0.9847,0.8795
181,0.9845,0.8795
182,0.9844,0.8745
183,0.9849,0.877
184,0.9836,0.873
185,0.9856,0.879
186,0.9855,0.8795
187,0.9857,0.8805
188,0.9855,0.8805
189,0.9845,0.878
190,0.9851,0.8805
191,0.986,0.8795
192,0.9864,0.8805
193,0.9867,0.881
194,0.9854,0.88
195,0.9862,0.878
196,0.987,0.876
197,0.986,0.876
198,0.9863,0.879
199,0.9859,0.8795
200,0.9862,0.877
