""
epoch,train_acc,test_acc
1,0.5532,0.597
2,0.5879,0.5895
3,0.5957,0.5985
4,0.6058,0.5975
5,0.6118,0.608
6,0.6202,0.615
7,0.6252,0.6095
8,0.6323,0.616
9,0.6372,0.6215
10,0.6533,0.6245
11,0.6509,0.6435
12,0.6567,0.6315
13,0.6562,0.6435
14,0.6635,0.6405
15,0.6701,0.6425
16,0.6734,0.639
17,0.6751,0.6485
18,0.6753,0.639
19,0.6803,0.646
20,0.6799,0.639
21,0.6848,0.6575
22,0.689,0.6585
23,0.6969,0.6575
24,0.6924,0.652
25,0.7016,0.647
26,0.6966,0.642
27,0.7008,0.665
28,0.7097,0.657
29,0.7068,0.6635
30,0.7089,0.6415
31,0.7105,0.6595
32,0.7183,0.669
33,0.7204,0.653
34,0.7195,0.67
35,0.7229,0.6565
36,0.7217,0.6665
37,0.7227,0.658
38,0.7298,0.6575
39,0.7253,0.6735
40,0.7314,0.665
41,0.7352,0.662
42,0.7377,0.68
43,0.7413,0.6825
44,0.7445,0.6765
45,0.7421,0.6825
46,0.7444,0.6685
47,0.7399,0.6825
48,0.7471,0.6775
49,0.7469,0.6765
50,0.7494,0.679
51,0.7512,0.68
52,0.7569,0.6685
53,0.7615,0.67
54,0.7562,0.682
55,0.7557,0.6745
56,0.7541,0.668
57,0.7595,0.666
58,0.764,0.674
59,0.7574,0.6865
60,0.7597,0.677
61,0.7633,0.6785
62,0.7672,0.682
63,0.7616,0.6905
64,0.7666,0.673
65,0.7684,0.684
66,0.7669,0.671
67,0.777,0.6805
68,0.7681,0.68
69,0.768,0.681
70,0.7759,0.6825
71,0.7719,0.688
72,0.7716,0.672
73,0.7697,0.68
74,0.7708,0.674
75,0.7823,0.6795
76,0.7729,0.6725
77,0.7821,0.689
78,0.7778,0.6725
79,0.7767,0.6835
80,0.7811,0.677
81,0.7723,0.699
82,0.7857,0.6805
83,0.7903,0.688
84,0.7801,0.6785
85,0.7848,0.6845
86,0.7913,0.6765
87,0.7911,0.655
88,0.7818,0.6805
89,0.7916,0.6845
90,0.7969,0.683
91,0.7779,0.6795
92,0.7937,0.6595
93,0.7821,0.688
94,0.7962,0.6895
95,0.7933,0.683
96,0.7972,0.6795
97,0.7985,0.6815
98,0.8018,0.6715
99,0.7906,0.676
100,0.7952,0.672
101,0.7814,0.6535
102,0.798,0.68
103,0.8091,0.6855
104,0.7984,0.689
105,0.8036,0.6765
106,0.8045,0.6545
107,0.7882,0.654
108,0.7912,0.693
109,0.7935,0.6745
110,0.7991,0.6745
111,0.8111,0.686
112,0.8018,0.6725
113,0.812,0.679
114,0.8127,0.669
115,0.811,0.688
116,0.8184,0.6625
117,0.8005,0.687
118,0.8111,0.671
119,0.8063,0.6875
120,0.8179,0.6815
121,0.7923,0.675
122,0.8011,0.6565
123,0.7901,0.693
124,0.808,0.6765
125,0.8064,0.6655
126,0.7965,0.6825
127,0.8034,0.6875
128,0.8045,0.693
129,0.8068,0.679
130,0.8172,0.687
131,0.8133,0.686
132,0.8271,0.69
133,0.7937,0.66
134,0.8232,0.687
135,0.8117,0.6845
136,0.8147,0.6905
137,0.8259,0.6865
138,0.8125,0.6775
139,0.7993,0.662
140,0.7977,0.6715
141,0.8019,0.6385
142,0.7892,0.6915
143,0.8108,0.6815
144,0.8266,0.6885
145,0.8166,0.686
146,0.8294,0.684
147,0.8291,0.6955
148,0.8204,0.6895
149,0.8153,0.69
150,0.8276,0.6855
151,0.8271,0.691
152,0.8275,0.677
153,0.8182,0.687
154,0.8172,0.661
155,0.8265,0.6875
156,0.8264,0.6855
157,0.824,0.6865
158,0.8103,0.671
159,0.804,0.67
160,0.8078,0.675
161,0.8108,0.685
162,0.8115,0.6815
163,0.819,0.6685
164,0.8059,0.6635
165,0.8161,0.672
166,0.8073,0.682
167,0.8114,0.6815
168,0.8153,0.685
169,0.8127,0.691
170,0.8201,0.6855
171,0.8189,0.6815
172,0.8313,0.681
173,0.8201,0.6935
174,0.8207,0.679
175,0.7744,0.6325
176,0.78,0.688
177,0.8006,0.681
178,0.8174,0.6925
179,0.7979,0.695
180,0.8043,0.693
181,0.8112,0.6915
182,0.8024,0.684
183,0.8072,0.689
184,0.8153,0.701
185,0.8204,0.681
186,0.7968,0.677
187,0.8126,0.6845
188,0.8149,0.6885
189,0.8169,0.692
190,0.8107,0.676
191,0.8295,0.6905
192,0.8304,0.6825
193,0.8284,0.692
194,0.8137,0.689
195,0.8295,0.7015
196,0.8158,0.676
197,0.8353,0.6925
198,0.8363,0.695
199,0.8252,0.692
200,0.8311,0.694
