""
epoch,train_acc,test_acc
1,0.6888,0.7715
2,0.7775,0.7985
3,0.8002,0.818
4,0.8144,0.8185
5,0.8211,0.823
6,0.8277,0.83
7,0.8308,0.8265
8,0.8365,0.8355
9,0.8387,0.837
10,0.8473,0.828
11,0.8518,0.8435
12,0.8548,0.8495
13,0.8594,0.8465
14,0.8639,0.8535
15,0.8651,0.854
16,0.8671,0.862
17,0.874,0.8575
18,0.8736,0.8565
19,0.8802,0.8595
20,0.881,0.8585
21,0.8823,0.8585
22,0.8805,0.863
23,0.8863,0.864
24,0.8919,0.859
25,0.8942,0.8695
26,0.8925,0.86
27,0.8968,0.871
28,0.8957,0.8715
29,0.8986,0.872
30,0.9019,0.878
31,0.9025,0.876
32,0.9043,0.874
33,0.9058,0.874
34,0.9064,0.8675
35,0.9076,0.873
36,0.9106,0.8865
37,0.91,0.8745
38,0.9117,0.875
39,0.9133,0.874
40,0.9165,0.881
41,0.9133,0.8755
42,0.9168,0.8785
43,0.9174,0.8765
44,0.9196,0.877
45,0.9196,0.874
46,0.9225,0.8775
47,0.9249,0.8735
48,0.9247,0.8805
49,0.927,0.8785
50,0.9245,0.8855
51,0.927,0.879
52,0.9292,0.8765
53,0.9296,0.8845
54,0.9283,0.8755
55,0.9291,0.881
56,0.9331,0.882
57,0.9351,0.8805
58,0.9351,0.881
59,0.9356,0.8745
60,0.936,0.8715
61,0.936,0.876
62,0.9393,0.8755
63,0.9392,0.8785
64,0.939,0.88
65,0.9418,0.8815
66,0.9421,0.88
67,0.9439,0.8825
68,0.9414,0.881
69,0.9446,0.8805
70,0.9438,0.88
71,0.9448,0.883
72,0.9466,0.8855
73,0.9454,0.8785
74,0.9455,0.885
75,0.9478,0.8825
76,0.947,0.879
77,0.9487,0.8755
78,0.95,0.884
79,0.9499,0.8855
80,0.9514,0.8845
81,0.9524,0.8835
82,0.9514,0.8865
83,0.9545,0.883
84,0.9546,0.8825
85,0.9543,0.885
86,0.9565,0.882
87,0.9574,0.8785
88,0.957,0.885
89,0.9566,0.8855
90,0.9569,0.8785
91,0.9588,0.882
92,0.9606,0.8815
93,0.9593,0.8815
94,0.9582,0.8905
95,0.9582,0.88
96,0.9607,0.8855
97,0.9614,0.8785
98,0.9611,0.887
99,0.9627,0.8805
100,0.9634,0.888
101,0.964,0.882
102,0.9644,0.8875
103,0.9641,0.887
104,0.9629,0.883
105,0.9635,0.875
106,0.9649,0.8865
107,0.9673,0.884
108,0.9651,0.882
109,0.9671,0.8895
110,0.9679,0.883
111,0.9672,0.8875
112,0.9694,0.8825
113,0.9679,0.884
114,0.9676,0.881
115,0.9685,0.8905
116,0.9682,0.8835
117,0.9696,0.8835
118,0.971,0.8855
119,0.9703,0.887
120,0.9701,0.8825
121,0.9705,0.888
122,0.9705,0.8895
123,0.9717,0.8815
124,0.9707,0.8875
125,0.9714,0.886
126,0.9714,0.888
127,0.9732,0.8885
128,0.9728,0.889
129,0.972,0.8815
130,0.9722,0.887
131,0.9728,0.8935
132,0.9743,0.8845
133,0.9729,0.8835
134,0.9747,0.8845
135,0.9746,0.8855
136,0.9755,0.892
137,0.9749,0.8875
138,0.9753,0.8905
139,0.9732,0.886
140,0.9759,0.8855
141,0.9767,0.8885
142,0.9761,0.889
143,0.9767,0.8895
144,0.9776,0.889
145,0.9765,0.8855
146,0.9772,0.8945
147,0.9772,0.886
148,0.9782,0.8925
149,0.9771,0.894
150,0.9787,0.884
151,0.9783,0.8865
152,0.9774,0.89
153,0.9782,0.896
154,0.9786,0.8915
155,0.9785,0.887
156,0.9787,0.891
157,0.9795,0.894
158,0.9784,0.8855
159,0.9785,0.8905
160,0.9797,0.889
161,0.98,0.8875
162,0.9792,0.891
163,0.9803,0.892
164,0.9796,0.889
165,0.9801,0.891
166,0.9794,0.886
167,0.9808,0.883
168,0.9808,0.885
169,0.9811,0.885
170,0.9802,0.8895
171,0.9812,0.891
172,0.9803,0.882
173,0.9815,0.886
174,0.982,0.893
175,0.9813,0.887
176,0.9817,0.89
177,0.9825,0.8865
178,0.9827,0.889
179,0.9824,0.892
180,0.9829,0.888
181,0.9833,0.894
182,0.9831,0.8895
183,0.9827,0.888
184,0.9841,0.8915
185,0.9835,0.8895
186,0.9837,0.883
187,0.9837,0.886
188,0.9845,0.8915
189,0.9835,0.8895
190,0.9837,0.885
191,0.9834,0.898
192,0.9843,0.8895
193,0.9842,0.8875
194,0.9834,0.889
195,0.9836,0.8905
196,0.9836,0.886
197,0.9836,0.887
198,0.9842,0.888
199,0.9843,0.893
200,0.9839,0.8925
