""
epoch,train_acc,test_acc
1,0.746,0.8065
2,0.8151,0.826
3,0.8307,0.8445
4,0.8439,0.8485
5,0.8521,0.8495
6,0.8528,0.855
7,0.8567,0.851
8,0.8612,0.8585
9,0.8638,0.8615
10,0.8643,0.857
11,0.8672,0.862
12,0.8681,0.862
13,0.8725,0.866
14,0.8761,0.867
15,0.8795,0.863
16,0.8773,0.8665
17,0.8827,0.86
18,0.8823,0.8615
19,0.882,0.867
20,0.8854,0.866
21,0.8864,0.8695
22,0.8884,0.8675
23,0.8883,0.867
24,0.8916,0.867
25,0.8903,0.8655
26,0.8911,0.872
27,0.8925,0.8665
28,0.8934,0.869
29,0.8972,0.8635
30,0.8978,0.865
31,0.8989,0.876
32,0.8976,0.8715
33,0.8991,0.8755
34,0.902,0.881
35,0.9038,0.8795
36,0.903,0.8705
37,0.9044,0.875
38,0.9052,0.876
39,0.9066,0.8765
40,0.9068,0.8805
41,0.9055,0.8595
42,0.9068,0.881
43,0.9115,0.8785
44,0.9113,0.879
45,0.9128,0.8785
46,0.9134,0.8815
47,0.9161,0.877
48,0.9152,0.884
49,0.9167,0.881
50,0.9153,0.88
51,0.9179,0.877
52,0.9188,0.8855
53,0.9187,0.873
54,0.9194,0.8815
55,0.9171,0.8825
56,0.9219,0.882
57,0.9217,0.8855
58,0.9207,0.888
59,0.9228,0.8835
60,0.9247,0.8695
61,0.9265,0.8855
62,0.9281,0.8815
63,0.9282,0.88
64,0.9264,0.883
65,0.9278,0.889
66,0.9278,0.886
67,0.9322,0.8825
68,0.9324,0.878
69,0.9292,0.885
70,0.9327,0.881
71,0.9341,0.885
72,0.9334,0.891
73,0.9356,0.889
74,0.9346,0.886
75,0.9351,0.8815
76,0.9341,0.8835
77,0.937,0.888
78,0.9368,0.886
79,0.9375,0.8855
80,0.9387,0.8845
81,0.9388,0.8755
82,0.9404,0.886
83,0.9406,0.88
84,0.9413,0.8885
85,0.9414,0.8835
86,0.9414,0.888
87,0.9438,0.8795
88,0.9409,0.889
89,0.939,0.8835
90,0.9445,0.8775
91,0.9448,0.885
92,0.9429,0.886
93,0.9432,0.8845
94,0.9448,0.8835
95,0.9454,0.8815
96,0.9463,0.885
97,0.9449,0.879
98,0.9475,0.888
99,0.9457,0.8845
100,0.9464,0.881
101,0.9478,0.8875
102,0.949,0.8825
103,0.949,0.8875
104,0.9513,0.8845
105,0.9504,0.8815
106,0.9511,0.8905
107,0.9506,0.8845
108,0.9508,0.8855
109,0.951,0.8855
110,0.9517,0.884
111,0.9507,0.8855
112,0.9511,0.888
113,0.9532,0.885
114,0.9512,0.891
115,0.9533,0.883
116,0.9525,0.8855
117,0.9513,0.889
118,0.9551,0.879
119,0.9535,0.8845
120,0.9533,0.8925
121,0.9534,0.8815
122,0.9528,0.8745
123,0.9557,0.886
124,0.9537,0.8905
125,0.9563,0.888
126,0.9549,0.8885
127,0.9546,0.8925
128,0.9571,0.892
129,0.9573,0.888
130,0.9566,0.887
131,0.9556,0.8815
132,0.955,0.8895
133,0.9567,0.8895
134,0.9564,0.8825
135,0.9579,0.887
136,0.9572,0.8845
137,0.9593,0.8845
138,0.9589,0.8855
139,0.9605,0.8865
140,0.9599,0.887
141,0.962,0.8885
142,0.9594,0.887
143,0.9609,0.884
144,0.9623,0.889
145,0.9634,0.8865
146,0.9573,0.8845
147,0.9616,0.8875
148,0.9637,0.8905
149,0.9621,0.882
150,0.9632,0.8915
151,0.9615,0.8885
152,0.9603,0.8845
153,0.963,0.889
154,0.9623,0.8875
155,0.9638,0.889
156,0.9624,0.887
157,0.9631,0.89
158,0.9621,0.8855
159,0.9642,0.884
160,0.9651,0.884
161,0.9643,0.892
162,0.9644,0.8885
163,0.9641,0.8875
164,0.9631,0.89
165,0.966,0.89
166,0.9669,0.894
167,0.9674,0.8855
168,0.9685,0.892
169,0.9673,0.8925
170,0.9661,0.8855
171,0.9634,0.8845
172,0.9661,0.892
173,0.9679,0.8885
174,0.969,0.8805
175,0.9667,0.8935
176,0.9681,0.889
177,0.9666,0.8865
178,0.9678,0.889
179,0.9684,0.889
180,0.9681,0.8935
181,0.9701,0.8935
182,0.969,0.8925
183,0.9679,0.886
184,0.9695,0.894
185,0.9665,0.887
186,0.9694,0.8855
187,0.9697,0.8875
188,0.9695,0.891
189,0.9686,0.8885
190,0.9695,0.8845
191,0.9697,0.889
192,0.9709,0.8895
193,0.9699,0.8895
194,0.9707,0.8875
195,0.9709,0.886
196,0.9701,0.8825
197,0.9698,0.8905
198,0.9717,0.8875
199,0.9722,0.889
200,0.9717,0.8855
