epoch,train acc,test acc,train loss,test loss
50.0,0.6847,0.667,0.31529998779296875,0.33299994468688965
100.0,0.7184,0.698,0.2815999984741211,0.3019999861717224
150.0,0.7404,0.71,0.25960004329681396,0.28999996185302734
200.0,0.7567,0.7105,0.24330002069473267,0.2894999384880066
250.0,0.7651,0.7135,0.23489999771118164,0.2864999771118164
300.0,0.7739,0.737,0.22610002756118774,0.262999951839447
350.0,0.7835,0.73,0.21650004386901855,0.26999998092651367
400.0,0.7876,0.724,0.21240001916885376,0.2759999632835388
450.0,0.7923,0.73,0.20770001411437988,0.26999998092651367
500.0,0.7979,0.7345,0.20210003852844238,0.26549994945526123
550.0,0.7991,0.7465,0.20090001821517944,0.25349998474121094
600.0,0.8037,0.742,0.19630002975463867,0.2579999566078186
650.0,0.8032,0.747,0.19679999351501465,0.2529999613761902
700.0,0.8071,0.754,0.19290000200271606,0.2459999918937683
750.0,0.8071,0.749,0.19290000200271606,0.25099998712539673
800.0,0.8089,0.75,0.19110000133514404,0.24999994039535522
850.0,0.8127,0.7455,0.18730002641677856,0.25449997186660767
900.0,0.8107,0.743,0.18930000066757202,0.2569999694824219
950.0,0.8138,0.7475,0.18620002269744873,0.25249993801116943
1000.0,0.8157,0.743,0.1843000054359436,0.2569999694824219
