""
epoch,train_acc,test_acc
1,0.7254,0.8015
2,0.8331,0.8465
3,0.8549,0.852
4,0.8637,0.8615
5,0.871,0.858
6,0.8708,0.864
7,0.8739,0.857
8,0.8742,0.8615
9,0.8775,0.868
10,0.8764,0.87
11,0.8785,0.8665
12,0.8802,0.8645
13,0.8827,0.864
14,0.8829,0.8685
15,0.8839,0.868
16,0.8865,0.8685
17,0.8865,0.8695
18,0.8892,0.87
19,0.889,0.8725
20,0.8886,0.8695
21,0.8925,0.8695
22,0.894,0.8735
23,0.8935,0.866
24,0.8936,0.8705
25,0.8966,0.8685
26,0.8975,0.872
27,0.8961,0.872
28,0.8988,0.867
29,0.9004,0.876
30,0.902,0.8725
31,0.9033,0.883
32,0.9011,0.879
33,0.9038,0.8795
34,0.9051,0.8815
35,0.9105,0.884
36,0.9086,0.8785
37,0.9107,0.881
38,0.9104,0.8715
39,0.9105,0.8805
40,0.9133,0.8835
41,0.912,0.88
42,0.9158,0.885
43,0.9171,0.878
44,0.9141,0.8835
45,0.9185,0.8825
46,0.9171,0.88
47,0.9196,0.8745
48,0.9211,0.879
49,0.9206,0.881
50,0.9213,0.884
51,0.9234,0.8815
52,0.9224,0.877
53,0.9244,0.882
54,0.9268,0.8845
55,0.9265,0.884
56,0.9258,0.8805
57,0.929,0.885
58,0.9293,0.881
59,0.9266,0.8805
60,0.9288,0.8765
61,0.9318,0.8845
62,0.9339,0.879
63,0.93,0.8805
64,0.9309,0.881
65,0.9343,0.8795
66,0.9378,0.881
67,0.935,0.883
68,0.936,0.883
69,0.9367,0.8795
70,0.9353,0.882
71,0.9366,0.8845
72,0.9391,0.8795
73,0.941,0.8865
74,0.9394,0.886
75,0.9389,0.8805
76,0.941,0.8875
77,0.9415,0.8835
78,0.9411,0.8785
79,0.9415,0.8825
80,0.9412,0.8835
81,0.9392,0.883
82,0.9428,0.885
83,0.9446,0.885
84,0.9459,0.8855
85,0.9452,0.884
86,0.947,0.8845
87,0.9454,0.886
88,0.9426,0.8835
89,0.946,0.8865
90,0.9476,0.8845
91,0.9485,0.885
92,0.9476,0.881
93,0.9481,0.884
94,0.9513,0.8815
95,0.9495,0.883
96,0.9512,0.8805
97,0.9527,0.881
98,0.9522,0.8825
99,0.9519,0.8775
100,0.9539,0.8865
101,0.9502,0.8855
102,0.9552,0.8855
103,0.9541,0.885
104,0.9567,0.8835
105,0.9564,0.887
106,0.9545,0.884
107,0.9566,0.8815
108,0.9558,0.8835
109,0.956,0.8855
110,0.959,0.884
111,0.9561,0.8825
112,0.958,0.8835
113,0.9601,0.8885
114,0.9596,0.881
115,0.9594,0.8825
116,0.961,0.884
117,0.9597,0.884
118,0.9611,0.882
119,0.9614,0.8855
120,0.9615,0.886
121,0.9627,0.8885
122,0.9641,0.8845
123,0.9619,0.8875
124,0.9631,0.8895
125,0.9632,0.886
126,0.9618,0.8865
127,0.9657,0.884
128,0.9657,0.886
129,0.9649,0.8885
130,0.9661,0.8855
131,0.9649,0.888
132,0.9668,0.8825
133,0.9666,0.8825
134,0.9676,0.8845
135,0.9674,0.888
136,0.9665,0.8845
137,0.9683,0.89
138,0.9674,0.8895
139,0.9674,0.8855
140,0.9673,0.8835
141,0.9684,0.887
142,0.9683,0.8875
143,0.9684,0.884
144,0.9686,0.8815
145,0.9687,0.886
146,0.9703,0.8875
147,0.9696,0.8845
148,0.9712,0.886
149,0.9713,0.8875
150,0.9721,0.887
151,0.972,0.8865
152,0.9716,0.8885
153,0.9726,0.8845
154,0.9707,0.889
155,0.9721,0.8925
156,0.9706,0.888
157,0.9731,0.891
158,0.9716,0.8845
159,0.9727,0.8865
160,0.9726,0.891
161,0.9736,0.889
162,0.9723,0.886
163,0.9737,0.8895
164,0.9738,0.8855
165,0.974,0.886
166,0.9749,0.8875
167,0.9739,0.886
168,0.9759,0.8835
169,0.9756,0.8885
170,0.9747,0.8875
171,0.9746,0.893
172,0.9751,0.8945
173,0.975,0.893
174,0.975,0.888
175,0.9764,0.889
176,0.9759,0.8905
177,0.9772,0.892
178,0.9761,0.8895
179,0.9756,0.8935
180,0.9771,0.884
181,0.9774,0.893
182,0.9757,0.882
183,0.9773,0.889
184,0.9776,0.89
185,0.9763,0.888
186,0.9778,0.8855
187,0.9794,0.889
188,0.978,0.8905
189,0.9776,0.887
190,0.9793,0.8865
191,0.9772,0.8885
192,0.9781,0.8825
193,0.9787,0.884
194,0.9783,0.8925
195,0.9792,0.888
196,0.9803,0.8905
197,0.9791,0.8895
198,0.9789,0.89
199,0.9791,0.892
200,0.9792,0.889
