""
epoch,train_acc,test_acc
1,0.8111,0.853
2,0.8684,0.854
3,0.8757,0.8755
4,0.8826,0.8805
5,0.8917,0.883
6,0.8954,0.889
7,0.8967,0.889
8,0.8994,0.8895
9,0.9006,0.8895
10,0.9048,0.885
11,0.9086,0.89
12,0.9061,0.893
13,0.9086,0.896
14,0.9105,0.889
15,0.9112,0.8955
16,0.9136,0.8925
17,0.9114,0.8945
18,0.9133,0.8995
19,0.9158,0.899
20,0.9181,0.887
21,0.9223,0.899
22,0.9185,0.895
23,0.9222,0.899
24,0.9224,0.9005
25,0.923,0.8985
26,0.9254,0.9035
27,0.9264,0.8965
28,0.9234,0.8985
29,0.9295,0.9055
30,0.9306,0.9075
31,0.932,0.9055
32,0.9368,0.9025
33,0.9345,0.906
34,0.9338,0.911
35,0.9352,0.9015
36,0.9348,0.9055
37,0.9367,0.886
38,0.937,0.9045
39,0.9357,0.9045
40,0.9381,0.9075
41,0.9388,0.9065
42,0.9434,0.9005
43,0.9418,0.892
44,0.9424,0.9065
45,0.9451,0.886
46,0.9449,0.907
47,0.9482,0.9
48,0.9483,0.9085
49,0.9489,0.9065
50,0.9461,0.895
51,0.95,0.907
52,0.9488,0.882
53,0.9516,0.898
54,0.9491,0.906
55,0.9516,0.9035
56,0.9496,0.907
57,0.9536,0.906
58,0.9522,0.9045
59,0.9536,0.9095
60,0.958,0.908
61,0.9571,0.908
62,0.9607,0.9085
63,0.9561,0.9015
64,0.9593,0.913
65,0.9591,0.901
66,0.9569,0.8945
67,0.9606,0.905
68,0.9606,0.908
69,0.963,0.907
70,0.9596,0.9075
71,0.964,0.9035
72,0.9577,0.905
73,0.9642,0.912
74,0.969,0.9065
75,0.9669,0.8985
76,0.969,0.8995
77,0.9691,0.91
78,0.9689,0.9065
79,0.9663,0.899
80,0.9539,0.91
81,0.9717,0.909
82,0.9709,0.905
83,0.9673,0.901
84,0.9679,0.8955
85,0.9651,0.912
86,0.9524,0.9
87,0.9735,0.908
88,0.9703,0.8805
89,0.9685,0.8775
90,0.9706,0.906
91,0.9731,0.911
92,0.9706,0.914
93,0.9636,0.893
94,0.972,0.906
95,0.9743,0.915
96,0.9764,0.9115
97,0.9387,0.906
98,0.963,0.9075
99,0.9743,0.9075
100,0.9764,0.912
101,0.9762,0.9075
102,0.9798,0.907
103,0.9777,0.8695
104,0.9795,0.9095
105,0.9796,0.911
106,0.9794,0.9085
107,0.9818,0.904
108,0.9699,0.9
109,0.9634,0.8955
110,0.9769,0.9045
111,0.9828,0.905
112,0.9825,0.914
113,0.9817,0.907
114,0.9694,0.905
115,0.9781,0.9095
116,0.9836,0.911
117,0.9838,0.908
118,0.9839,0.9095
119,0.9798,0.8985
120,0.982,0.9095
121,0.9854,0.9075
122,0.9871,0.91
123,0.9822,0.9075
124,0.9791,0.9075
125,0.9874,0.9085
126,0.9847,0.909
127,0.9886,0.9105
128,0.9903,0.914
129,0.9889,0.9075
130,0.9836,0.8945
131,0.9848,0.911
132,0.9872,0.9105
133,0.9888,0.914
134,0.9884,0.909
135,0.9904,0.912
136,0.9254,0.8825
137,0.9503,0.901
138,0.9577,0.898
139,0.972,0.9065
140,0.9769,0.9105
141,0.9796,0.9125
142,0.9775,0.915
143,0.9801,0.9065
144,0.9798,0.9125
145,0.9851,0.9145
146,0.9868,0.911
147,0.9821,0.911
148,0.9847,0.911
149,0.9837,0.9105
150,0.9772,0.9145
151,0.9885,0.906
152,0.9912,0.916
153,0.9904,0.909
154,0.9861,0.908
155,0.9915,0.911
156,0.9941,0.9085
157,0.9932,0.904
158,0.9923,0.906
159,0.9948,0.91
160,0.9929,0.91
161,0.9947,0.907
162,0.9943,0.914
163,0.9947,0.902
164,0.9936,0.912
165,0.9913,0.9085
166,0.995,0.913
167,0.9953,0.9115
168,0.996,0.912
169,0.9939,0.9095
170,0.9958,0.91
171,0.9936,0.9155
172,0.9958,0.91
173,0.9934,0.911
174,0.9872,0.908
175,0.9946,0.911
176,0.9956,0.913
177,0.9953,0.91
178,0.9965,0.906
179,0.9922,0.9125
180,0.9967,0.911
181,0.9962,0.9095
182,0.9972,0.917
183,0.9963,0.9125
184,0.9969,0.913
185,0.9974,0.9135
186,0.995,0.9095
187,0.9961,0.9085
188,0.9971,0.91
189,0.9963,0.902
190,0.9954,0.9115
191,0.9972,0.9155
192,0.9967,0.9145
193,0.9968,0.9085
194,0.9966,0.9105
195,0.9976,0.907
196,0.9973,0.9105
197,0.9968,0.913
198,0.9979,0.9115
199,0.9976,0.9095
200,0.9969,0.9055
