epoch,train acc,test acc,train loss,test loss
50.0,0.619,0.566875,0.6474155783653259,0.6835597157478333
100.0,0.677,0.5625,0.6052212119102478,0.697607159614563
150.0,0.716,0.575,0.5598800182342529,0.7249302268028259
200.0,0.755,0.58125,0.5141849517822266,0.7468250393867493
250.0,0.794,0.58125,0.4611876904964447,0.7750657200813293
300.0,0.815,0.58875,0.41332417726516724,0.8076028227806091
350.0,0.849,0.59125,0.3681947886943817,0.8608615398406982
400.0,0.874,0.5825,0.31917157769203186,0.9195896983146667
450.0,0.891,0.599375,0.27933064103126526,0.9960910081863403
500.0,0.92,0.599375,0.23353801667690277,1.0739543437957764
550.0,0.94,0.605625,0.19285480678081512,1.170802116394043
600.0,0.961,0.598125,0.16097263991832733,1.2933605909347534
650.0,0.977,0.598125,0.12674035131931305,1.3472449779510498
700.0,0.984,0.5975,0.0995822548866272,1.4321352243423462
750.0,0.989,0.601875,0.07880344986915588,1.5601061582565308
800.0,0.994,0.599375,0.058534953743219376,1.6584277153015137
850.0,0.998,0.59875,0.043813612312078476,1.78463876247406
900.0,1.0,0.60625,0.03337254375219345,1.9282463788986206
950.0,1.0,0.605625,0.02353162132203579,2.0496199131011963
1000.0,1.0,0.604375,0.017771631479263306,2.159977436065674
