""
epoch,train_acc,test_acc
1,0.583,0.661875
2,0.641,0.71125
3,0.732,0.6875
4,0.74,0.735625
5,0.758,0.748125
6,0.786,0.743125
7,0.806,0.77125
8,0.805,0.75125
9,0.827,0.7775
10,0.831,0.765
11,0.83,0.7525
12,0.836,0.755
13,0.832,0.771875
14,0.822,0.784375
15,0.842,0.79375
16,0.853,0.764375
17,0.85,0.789375
18,0.858,0.7875
19,0.864,0.786875
20,0.861,0.759375
21,0.869,0.79875
22,0.858,0.788125
23,0.875,0.793125
24,0.891,0.793125
25,0.873,0.795
26,0.868,0.8025
27,0.86,0.781875
28,0.87,0.7925
29,0.834,0.798125
30,0.89,0.785625
31,0.886,0.771875
32,0.881,0.799375
33,0.896,0.799375
34,0.907,0.789375
35,0.908,0.798125
36,0.913,0.798125
37,0.92,0.79875
38,0.923,0.774375
39,0.825,0.746875
40,0.792,0.66125
41,0.771,0.751875
42,0.841,0.710625
43,0.826,0.7475
44,0.772,0.77625
45,0.78,0.735625
46,0.75,0.75625
47,0.832,0.7975
48,0.877,0.79125
49,0.857,0.734375
50,0.82,0.79125
51,0.878,0.771875
52,0.861,0.80875
53,0.897,0.79375
54,0.907,0.79875
55,0.876,0.73375
56,0.89,0.79875
57,0.872,0.77375
58,0.898,0.793125
59,0.902,0.781875
60,0.91,0.8
61,0.867,0.796875
62,0.859,0.67625
63,0.847,0.783125
64,0.9,0.743125
65,0.894,0.79625
66,0.844,0.8075
67,0.88,0.798125
68,0.873,0.79875
69,0.928,0.794375
70,0.92,0.7975
71,0.92,0.799375
72,0.907,0.763125
73,0.924,0.791875
74,0.933,0.794375
75,0.937,0.798125
76,0.915,0.790625
77,0.917,0.7925
78,0.94,0.8025
79,0.847,0.79125
80,0.932,0.77625
81,0.871,0.76625
82,0.797,0.80125
83,0.922,0.79125
84,0.926,0.78875
85,0.919,0.809375
86,0.945,0.804375
87,0.946,0.79
88,0.943,0.795
89,0.947,0.7675
90,0.937,0.80625
91,0.928,0.796875
92,0.946,0.795
93,0.956,0.8025
94,0.946,0.7575
95,0.788,0.78625
96,0.846,0.795625
97,0.89,0.79375
98,0.91,0.804375
99,0.896,0.761875
100,0.923,0.805
101,0.944,0.77375
102,0.942,0.8125
103,0.934,0.791875
104,0.949,0.7725
105,0.889,0.805625
106,0.927,0.779375
107,0.939,0.81
108,0.956,0.79875
109,0.964,0.8
110,0.966,0.80125
111,0.965,0.805625
112,0.969,0.809375
113,0.964,0.7925
114,0.967,0.80875
115,0.974,0.79375
116,0.97,0.7975
117,0.971,0.80875
118,0.972,0.80125
119,0.966,0.77625
120,0.895,0.6675
121,0.703,0.793125
122,0.903,0.794375
123,0.765,0.69375
124,0.899,0.784375
125,0.747,0.74375
126,0.851,0.781875
127,0.889,0.775625
128,0.906,0.79375
129,0.925,0.80125
130,0.858,0.729375
131,0.915,0.8
132,0.939,0.78125
133,0.921,0.795
134,0.942,0.79
135,0.893,0.7375
136,0.805,0.79125
137,0.918,0.800625
138,0.937,0.7925
139,0.947,0.801875
140,0.948,0.801875
141,0.946,0.789375
142,0.951,0.79875
143,0.941,0.79375
144,0.957,0.794375
145,0.958,0.79
146,0.946,0.8
147,0.96,0.800625
148,0.958,0.793125
149,0.958,0.79875
150,0.957,0.794375
151,0.955,0.791875
152,0.964,0.8025
153,0.959,0.795625
154,0.951,0.798125
155,0.948,0.80625
156,0.964,0.79625
157,0.964,0.80375
158,0.961,0.799375
159,0.966,0.796875
160,0.969,0.79375
161,0.969,0.790625
162,0.97,0.804375
163,0.971,0.805
164,0.974,0.795
165,0.973,0.795
166,0.946,0.781875
167,0.927,0.784375
168,0.971,0.81125
169,0.969,0.80125
170,0.97,0.80625
171,0.973,0.805625
172,0.971,0.80375
173,0.975,0.803125
174,0.973,0.78625
175,0.973,0.795
176,0.975,0.795
177,0.97,0.81125
178,0.976,0.81
179,0.976,0.806875
180,0.976,0.800625
181,0.972,0.800625
182,0.981,0.803125
183,0.98,0.801875
184,0.979,0.786875
185,0.977,0.800625
186,0.982,0.80625
187,0.962,0.786875
188,0.967,0.78875
189,0.979,0.80125
190,0.976,0.805625
191,0.982,0.80375
192,0.98,0.80375
193,0.981,0.804375
194,0.983,0.800625
195,0.978,0.80125
196,0.982,0.80875
197,0.983,0.80375
198,0.984,0.799375
199,0.984,0.79875
200,0.981,0.793125
