""
epoch,train_acc,test_acc
1,0.574,0.691875
2,0.777,0.86
3,0.854,0.860625
4,0.839,0.814375
5,0.833,0.865
6,0.863,0.865
7,0.861,0.8575
8,0.872,0.85875
9,0.874,0.843125
10,0.878,0.871875
11,0.88,0.854375
12,0.874,0.840625
13,0.883,0.8625
14,0.892,0.845
15,0.9,0.83
16,0.839,0.805625
17,0.88,0.86875
18,0.9,0.87625
19,0.901,0.859375
20,0.893,0.879375
21,0.9,0.86625
22,0.885,0.88375
23,0.912,0.878125
24,0.904,0.813125
25,0.901,0.88125
26,0.894,0.84375
27,0.884,0.876875
28,0.919,0.88375
29,0.892,0.881875
30,0.932,0.87625
31,0.934,0.88625
32,0.929,0.825
33,0.885,0.875
34,0.905,0.878125
35,0.914,0.878125
36,0.913,0.88625
37,0.919,0.87375
38,0.936,0.88
39,0.947,0.88375
40,0.939,0.86
41,0.937,0.8775
42,0.897,0.88625
43,0.954,0.885
44,0.916,0.85875
45,0.898,0.838125
46,0.934,0.879375
47,0.936,0.775625
48,0.872,0.875
49,0.946,0.886875
50,0.95,0.87
51,0.959,0.8825
52,0.935,0.89125
53,0.955,0.88875
54,0.972,0.8675
55,0.948,0.88875
56,0.963,0.879375
57,0.96,0.8875
58,0.971,0.869375
59,0.865,0.843125
60,0.939,0.876875
61,0.938,0.88625
62,0.832,0.873125
63,0.914,0.891875
64,0.939,0.88375
65,0.957,0.889375
66,0.932,0.890625
67,0.935,0.86375
68,0.938,0.889375
69,0.971,0.889375
70,0.974,0.88875
71,0.954,0.875625
72,0.969,0.880625
73,0.951,0.84
74,0.863,0.878125
75,0.954,0.878125
76,0.967,0.884375
77,0.934,0.835625
78,0.949,0.89
79,0.96,0.89
80,0.962,0.885625
81,0.98,0.870625
82,0.973,0.88875
83,0.981,0.889375
84,0.984,0.885
85,0.981,0.8875
86,0.989,0.8875
87,0.988,0.86875
88,0.986,0.885625
89,0.932,0.696875
90,0.63,0.59875
91,0.646,0.72875
92,0.805,0.840625
93,0.888,0.855625
94,0.884,0.863125
95,0.91,0.861875
96,0.917,0.873125
97,0.923,0.87625
98,0.936,0.88375
99,0.948,0.886875
100,0.95,0.88375
101,0.963,0.87
102,0.958,0.89125
103,0.973,0.886875
104,0.976,0.89
105,0.977,0.88625
106,0.98,0.891875
107,0.977,0.889375
108,0.981,0.885625
109,0.987,0.8925
110,0.987,0.886875
111,0.989,0.88625
112,0.989,0.890625
113,0.992,0.88875
114,0.989,0.89
115,0.992,0.889375
116,0.991,0.88125
117,0.994,0.89125
118,0.994,0.880625
119,0.993,0.88
120,0.993,0.886875
121,0.993,0.87625
122,0.994,0.87375
123,0.99,0.87375
124,0.993,0.871875
125,0.994,0.8775
126,0.995,0.88
127,0.994,0.8775
128,0.993,0.893125
129,0.994,0.874375
130,0.995,0.88375
131,0.994,0.87625
132,0.995,0.8925
133,0.995,0.881875
134,0.997,0.875625
135,0.996,0.889375
136,0.994,0.87
137,0.994,0.87625
138,0.995,0.880625
139,0.996,0.883125
140,0.997,0.88875
141,0.997,0.884375
142,0.996,0.87125
143,0.997,0.89
144,0.996,0.87375
145,0.997,0.885625
146,0.996,0.86625
147,0.996,0.886875
148,0.996,0.885625
149,0.997,0.888125
150,0.997,0.885
151,0.997,0.890625
152,0.996,0.87625
153,0.995,0.87875
154,0.997,0.8775
155,0.997,0.8825
156,0.997,0.8875
157,0.997,0.890625
158,0.995,0.885625
159,0.997,0.879375
160,0.998,0.878125
161,0.998,0.88375
162,0.998,0.875
163,0.998,0.869375
164,0.998,0.878125
165,0.998,0.878125
166,0.998,0.88
167,0.998,0.8775
168,0.998,0.879375
169,0.998,0.871875
170,0.998,0.879375
171,0.998,0.87625
172,0.998,0.885
173,0.998,0.87
174,0.998,0.8825
175,0.998,0.888125
176,0.998,0.884375
177,0.998,0.873125
178,0.998,0.88375
179,0.998,0.88
180,0.998,0.869375
181,0.998,0.87625
182,0.998,0.8675
183,0.998,0.87625
184,0.998,0.8775
185,0.998,0.8775
186,0.998,0.88625
187,0.998,0.875
188,0.998,0.87625
189,0.998,0.876875
190,0.998,0.87875
191,0.998,0.87875
192,0.998,0.88
193,0.998,0.876875
194,0.998,0.880625
195,0.998,0.875
196,0.998,0.875
197,0.998,0.8775
198,0.998,0.880625
199,0.998,0.878125
200,0.998,0.88
