""
epoch,train_acc,test_acc
1,0.535,0.51625
2,0.537,0.521875
3,0.558,0.628125
4,0.668,0.65125
5,0.688,0.650625
6,0.693,0.663125
7,0.669,0.631875
8,0.714,0.665
9,0.713,0.6675
10,0.725,0.660625
11,0.72,0.681875
12,0.748,0.668125
13,0.752,0.695625
14,0.766,0.691875
15,0.768,0.680625
16,0.775,0.67125
17,0.749,0.68
18,0.728,0.66625
19,0.73,0.695
20,0.781,0.690625
21,0.774,0.68625
22,0.791,0.693125
23,0.793,0.69
24,0.77,0.67
25,0.751,0.649375
26,0.786,0.7025
27,0.797,0.701875
28,0.817,0.69125
29,0.786,0.684375
30,0.742,0.681875
31,0.811,0.68375
32,0.805,0.698125
33,0.763,0.678125
34,0.775,0.688125
35,0.799,0.685
36,0.784,0.63125
37,0.78,0.655625
38,0.778,0.676875
39,0.718,0.698125
40,0.793,0.694375
41,0.818,0.706875
42,0.821,0.685
43,0.839,0.7
44,0.799,0.690625
45,0.794,0.695
46,0.773,0.591875
47,0.729,0.6925
48,0.819,0.688125
49,0.697,0.6775
50,0.761,0.6075
51,0.68,0.685625
52,0.773,0.68875
53,0.802,0.70375
54,0.797,0.70125
55,0.787,0.665625
56,0.79,0.698125
57,0.805,0.66
58,0.683,0.63875
59,0.76,0.696875
60,0.805,0.68
61,0.767,0.69625
62,0.793,0.694375
63,0.804,0.695
64,0.825,0.660625
65,0.739,0.67
66,0.746,0.598125
67,0.784,0.700625
68,0.836,0.695
69,0.805,0.665
70,0.79,0.6275
71,0.797,0.645
72,0.799,0.694375
73,0.77,0.681875
74,0.821,0.6525
75,0.772,0.638125
76,0.752,0.70375
77,0.848,0.698125
78,0.817,0.7025
79,0.844,0.61
80,0.783,0.664375
81,0.718,0.70375
82,0.874,0.689375
83,0.809,0.696875
84,0.798,0.694375
85,0.845,0.703125
86,0.846,0.59875
87,0.841,0.705625
88,0.835,0.69375
89,0.799,0.698125
90,0.872,0.708125
91,0.794,0.68875
92,0.832,0.66875
93,0.864,0.699375
94,0.865,0.6825
95,0.831,0.603125
96,0.796,0.70625
97,0.85,0.6825
98,0.824,0.705625
99,0.823,0.62625
100,0.802,0.689375
101,0.885,0.701875
102,0.887,0.62375
103,0.818,0.679375
104,0.836,0.701875
105,0.838,0.7125
106,0.878,0.70625
107,0.801,0.615
108,0.783,0.715625
109,0.802,0.7175
110,0.818,0.59375
111,0.808,0.705625
112,0.788,0.64625
113,0.821,0.671875
114,0.844,0.684375
115,0.845,0.693125
116,0.779,0.689375
117,0.869,0.69875
118,0.815,0.7025
119,0.85,0.668125
120,0.848,0.686875
121,0.89,0.6825
122,0.791,0.668125
123,0.765,0.693125
124,0.879,0.706875
125,0.865,0.686875
126,0.813,0.67125
127,0.877,0.695
128,0.882,0.621875
129,0.794,0.708125
130,0.815,0.694375
131,0.829,0.696875
132,0.859,0.659375
133,0.852,0.70875
134,0.887,0.656875
135,0.728,0.68125
136,0.823,0.666875
137,0.796,0.68625
138,0.815,0.676875
139,0.869,0.681875
140,0.846,0.685
141,0.81,0.69125
142,0.796,0.69125
143,0.839,0.695
144,0.86,0.631875
145,0.855,0.701875
146,0.886,0.60875
147,0.789,0.6875
148,0.796,0.66
149,0.853,0.68875
150,0.837,0.63875
151,0.86,0.695625
152,0.895,0.695625
153,0.848,0.665
154,0.841,0.695
155,0.893,0.691875
156,0.851,0.6725
157,0.843,0.688125
158,0.881,0.67
159,0.898,0.694375
160,0.855,0.625
161,0.843,0.69125
162,0.82,0.676875
163,0.864,0.695
164,0.875,0.6625
165,0.843,0.70125
166,0.902,0.681875
167,0.86,0.706875
168,0.921,0.684375
169,0.905,0.67625
170,0.904,0.7075
171,0.932,0.7125
172,0.925,0.7075
173,0.928,0.696875
174,0.934,0.700625
175,0.895,0.664375
176,0.832,0.665
177,0.849,0.653125
178,0.885,0.688125
179,0.838,0.70125
180,0.941,0.688125
181,0.85,0.644375
182,0.79,0.7
183,0.925,0.68
184,0.939,0.70625
185,0.924,0.714375
186,0.947,0.71
187,0.95,0.71125
188,0.955,0.715
189,0.944,0.680625
190,0.837,0.678125
191,0.914,0.6925
192,0.855,0.71125
193,0.943,0.70375
194,0.936,0.70875
195,0.953,0.713125
196,0.944,0.67
197,0.777,0.65
198,0.846,0.690625
199,0.853,0.663125
200,0.782,0.6925
