epoch,train acc,test acc,train loss,test loss
1.0,0.546,0.54125,0.45399999618530273,0.45875000953674316
2.0,0.575,0.56875,0.4249999523162842,0.43125003576278687
3.0,0.611,0.595,0.3889999985694885,0.4050000309944153
4.0,0.64,0.64625,0.35999995470046997,0.35374999046325684
5.0,0.654,0.648125,0.34599995613098145,0.3518750071525574
6.0,0.667,0.659375,0.33299994468688965,0.34062498807907104
7.0,0.686,0.675625,0.3139999508857727,0.3243750333786011
8.0,0.715,0.68,0.2849999666213989,0.3199999928474426
9.0,0.718,0.68375,0.28199994564056396,0.3162500262260437
10.0,0.722,0.680625,0.2779999375343323,0.31937503814697266
11.0,0.727,0.680625,0.27299994230270386,0.31937503814697266
12.0,0.728,0.683125,0.27199995517730713,0.31687504053115845
13.0,0.73,0.68125,0.26999998092651367,0.3187500238418579
14.0,0.721,0.683125,0.2789999842643738,0.31687504053115845
15.0,0.733,0.68875,0.2669999599456787,0.3112500309944153
16.0,0.736,0.689375,0.26399993896484375,0.31062501668930054
17.0,0.739,0.689375,0.26099997758865356,0.31062501668930054
18.0,0.739,0.69125,0.26099997758865356,0.3087500333786011
19.0,0.739,0.688125,0.26099997758865356,0.31187498569488525
20.0,0.741,0.686875,0.25899994373321533,0.31312501430511475
21.0,0.743,0.686875,0.2569999694824219,0.31312501430511475
22.0,0.743,0.68125,0.2569999694824219,0.3187500238418579
23.0,0.744,0.68125,0.25599998235702515,0.3187500238418579
24.0,0.745,0.68125,0.25499993562698364,0.3187500238418579
25.0,0.747,0.6725,0.2529999613761902,0.32749998569488525
26.0,0.757,0.67875,0.24299997091293335,0.3212500214576721
27.0,0.759,0.678125,0.24099993705749512,0.32187503576278687
28.0,0.761,0.68,0.23899996280670166,0.3199999928474426
29.0,0.762,0.684375,0.23799997568130493,0.31562501192092896
30.0,0.761,0.683125,0.23899996280670166,0.31687504053115845
31.0,0.761,0.684375,0.23899996280670166,0.31562501192092896
32.0,0.765,0.6825,0.23499995470046997,0.3174999952316284
33.0,0.765,0.684375,0.23499995470046997,0.31562501192092896
34.0,0.771,0.686875,0.22899997234344482,0.31312501430511475
35.0,0.772,0.689375,0.2279999852180481,0.31062501668930054
