epoch,train acc,test acc,train loss,test loss
50.0,0.634,0.606875,0.6349895596504211,0.6597051620483398
100.0,0.692,0.610625,0.5822013020515442,0.6579288244247437
150.0,0.731,0.618125,0.5326229333877563,0.6626928448677063
200.0,0.771,0.62875,0.4841289520263672,0.6732017993927002
250.0,0.794,0.625625,0.4408040940761566,0.702442467212677
300.0,0.825,0.628125,0.3872304856777191,0.7183590531349182
350.0,0.851,0.618125,0.3435106873512268,0.7712631225585938
400.0,0.868,0.63125,0.3006680905818939,0.8207988739013672
450.0,0.901,0.625625,0.25149810314178467,0.8998551964759827
500.0,0.923,0.631875,0.2111196368932724,0.9573493599891663
550.0,0.947,0.63125,0.1734502762556076,1.043762445449829
600.0,0.962,0.638125,0.137338787317276,1.1264740228652954
650.0,0.983,0.640625,0.10220447182655334,1.204487919807434
700.0,0.992,0.6375,0.08034080266952515,1.282490611076355
750.0,0.997,0.630625,0.061159152537584305,1.441046118736267
800.0,0.998,0.628125,0.04629133269190788,1.508007287979126
850.0,1.0,0.62625,0.03530415520071983,1.6367896795272827
900.0,1.0,0.628125,0.025555437430739403,1.759489893913269
950.0,1.0,0.6325,0.017837293446063995,1.8794403076171875
1000.0,1.0,0.635,0.012564530596137047,1.995108962059021
