model,0,1,2,3,4,5,6,7
0,0.0662,0.1144,0.2700,0.2062,0.1469,0.1950,0.1606,0.1388
1,0.1519,0.0381,0.2362,0.1825,0.1187,0.1644,0.1244,0.1050
2,0.3081,0.2362,0.0337,0.3325,0.2512,0.3275,0.2812,0.2500
3,0.2306,0.1656,0.3388,0.0594,0.1900,0.2512,0.2144,0.1856
4,0.2037,0.1350,0.3088,0.2287,0.0375,0.2163,0.1762,0.1544
5,0.2125,0.1494,0.3337,0.2425,0.1769,0.0512,0.1906,0.1706
6,0.1681,0.0950,0.2644,0.1969,0.1337,0.1744,0.0494,0.1237
7,0.2019,0.1294,0.3088,0.2250,0.1594,0.2156,0.1750,0.0412
