model,0,1,2,3,4,5,6,7
0,0.2219,0.4744,0.6025,0.5100,0.4806,0.5462,0.5469,0.5544
1,0.5306,0.3794,0.6463,0.5950,0.5719,0.6100,0.6350,0.6344
2,0.6075,0.6275,0.2763,0.6569,0.6181,0.6756,0.6556,0.6800
3,0.5813,0.6062,0.6881,0.3119,0.6150,0.6700,0.6419,0.6700
4,0.4594,0.5050,0.6025,0.5331,0.2250,0.5831,0.5662,0.5769
5,0.5556,0.5712,0.6731,0.6306,0.5813,0.1375,0.6144,0.6431
6,0.5719,0.6244,0.6781,0.6200,0.6125,0.6319,0.3156,0.6506
7,0.5519,0.5931,0.6706,0.6056,0.5894,0.6300,0.6450,0.1419
