model,0,1,2,3,4,5,6,7
0,0.3681,0.6869,0.6887,0.6794,0.6256,0.6887,0.6912,0.6769
1,0.4519,0.0444,0.1419,0.2338,0.3662,0.0450,0.0506,0.3787
2,0.6006,0.3406,0.2400,0.4462,0.5650,0.2719,0.3475,0.5900
3,0.6350,0.6312,0.6706,0.3206,0.6319,0.6200,0.6725,0.6637
4,0.6206,0.6681,0.6669,0.6800,0.3594,0.6513,0.6525,0.6600
5,0.5894,0.3206,0.4825,0.4575,0.5531,0.2256,0.3088,0.5775
6,0.5838,0.2262,0.3837,0.4025,0.5387,0.2031,0.2031,0.5612
7,0.6162,0.5969,0.6194,0.6463,0.5875,0.5750,0.5831,0.2437
