model,0,1,2,3,4,5,6,7
0,0.0006,0.7900,0.8006,0.7969,0.8406,0.8469,0.7475,0.8169
1,0.8206,0.0019,0.8394,0.8481,0.8212,0.8356,0.7256,0.8237
2,0.8369,0.8262,0.0000,0.8231,0.8087,0.8356,0.7331,0.8219
3,0.8375,0.7994,0.8212,0.0000,0.8331,0.7825,0.7525,0.8206
4,0.8444,0.8031,0.8650,0.8062,0.0000,0.8319,0.7344,0.8325
5,0.8156,0.8144,0.8469,0.8394,0.7806,0.0000,0.7356,0.8444
6,0.7987,0.7850,0.8312,0.7956,0.8381,0.8425,0.0019,0.7994
7,0.8144,0.7994,0.8156,0.8394,0.8269,0.8787,0.7631,0.0000
