model,0,1,2,3,4,5,6,7
0,0.1831,0.3706,0.3469,0.5475,0.5487,0.4131,0.3675,0.4775
1,0.2862,0.0050,0.1300,0.4512,0.4456,0.1737,0.1656,0.3088
2,0.2156,0.1494,0.0006,0.4350,0.4150,0.1550,0.1519,0.2887
3,0.4994,0.4612,0.4487,0.1894,0.5731,0.4431,0.4963,0.4756
4,0.5188,0.4869,0.5087,0.5500,0.2594,0.5037,0.5125,0.5112
5,0.3681,0.2738,0.2694,0.4325,0.4619,0.2581,0.3181,0.3631
6,0.3113,0.1931,0.1837,0.4900,0.5025,0.2906,0.0119,0.4013
7,0.4850,0.3738,0.4000,0.4881,0.5062,0.4100,0.4256,0.2806
