model,0,1,2,3,4,5,6,7
0,0.0000,0.7700,0.8094,0.7494,0.7750,0.7962,0.8487,0.7937
1,0.7744,0.0000,0.8081,0.7437,0.8050,0.8012,0.7819,0.8312
2,0.7356,0.7887,0.0000,0.7706,0.7775,0.8031,0.8100,0.7537
3,0.8150,0.8062,0.7956,0.0000,0.7994,0.7375,0.7931,0.7906
4,0.8106,0.7956,0.7725,0.7281,0.0000,0.7775,0.7394,0.8200
5,0.8194,0.8156,0.7919,0.7825,0.7750,0.0000,0.7506,0.7719
6,0.8600,0.8112,0.7831,0.7594,0.7763,0.7556,0.0000,0.8062
7,0.8344,0.8125,0.8069,0.7713,0.7738,0.7456,0.8037,0.0000
