model,0,1,2,3,4,5,6,7
0,0.0694,0.5788,0.6219,0.7619,0.7344,0.6187,0.6612,0.7031
1,0.6294,0.2694,0.6413,0.6287,0.7194,0.6444,0.5813,0.6912
2,0.6837,0.6231,0.0506,0.6862,0.6281,0.6712,0.6400,0.7037
3,0.6681,0.6381,0.6538,0.2231,0.7094,0.6331,0.5788,0.5931
4,0.6550,0.6650,0.6106,0.6831,0.2606,0.5687,0.6262,0.6037
5,0.6687,0.6456,0.6894,0.6231,0.6244,0.0525,0.5975,0.6413
6,0.7256,0.6956,0.6456,0.6100,0.6562,0.6438,0.0688,0.6187
7,0.6556,0.5725,0.7113,0.5625,0.6000,0.6181,0.6562,0.1194
