model,0,1,2,3,4,5,6,7
0,0.0037,0.5175,0.5606,0.6413,0.5750,0.5856,0.5556,0.5731
1,0.5681,0.0019,0.6187,0.6212,0.5994,0.5575,0.5913,0.5731
2,0.5525,0.6025,0.0081,0.5744,0.5656,0.5800,0.5725,0.5006
3,0.5838,0.5969,0.5437,0.0062,0.5925,0.5656,0.6187,0.5500
4,0.5712,0.5919,0.5800,0.6294,0.0031,0.5944,0.6019,0.5719
5,0.5575,0.5750,0.5769,0.6012,0.6050,0.0037,0.5637,0.5700
6,0.5169,0.5888,0.5300,0.5381,0.5938,0.5919,0.0006,0.5575
7,0.4931,0.5806,0.5594,0.6112,0.5625,0.5381,0.5969,0.0025
