model,0,1,2,3,4,5,6,7
0,0.0037,0.8712,0.8550,0.8262,0.8069,0.8619,0.8525,0.8256
1,0.8650,0.0006,0.8581,0.8312,0.8131,0.8481,0.8644,0.8537
2,0.8269,0.8731,0.0206,0.8350,0.8212,0.8562,0.8550,0.8319
3,0.8012,0.8637,0.8506,0.0081,0.8294,0.8469,0.8363,0.8481
4,0.8406,0.8512,0.8388,0.8594,0.0100,0.8650,0.8363,0.8469
5,0.8125,0.8162,0.8681,0.8475,0.8275,0.0000,0.8656,0.8219
6,0.8250,0.8662,0.8737,0.8619,0.8350,0.8812,0.0025,0.8506
7,0.8275,0.8587,0.8550,0.8512,0.8281,0.8344,0.8331,0.0062
