model,0,1,2,3,4,5,6,7
0,0.0075,0.0575,0.0730,0.0495,0.0515,0.0535,0.0450,0.0795
1,0.0940,0.0210,0.0470,0.0670,0.0595,0.0475,0.0400,0.0605
2,0.0835,0.0275,0.0035,0.0525,0.0515,0.0660,0.0440,0.0690
3,0.0570,0.0440,0.0590,0.0050,0.0460,0.0480,0.0260,0.0880
4,0.0605,0.0415,0.0495,0.0430,0.0180,0.0375,0.0385,0.0525
5,0.0625,0.0375,0.0615,0.0445,0.0330,0.0115,0.0385,0.0715
6,0.0485,0.0265,0.0435,0.0320,0.0450,0.0430,0.0070,0.0555
7,0.0720,0.0440,0.0670,0.0685,0.0600,0.0715,0.0540,0.0225
