model,0,1,2,3,4,5,6,7
0,0.0350,0.6925,0.6175,0.7520,0.7395,0.7060,0.7040,0.6385
1,0.6455,0.0005,0.6060,0.6695,0.6980,0.7135,0.7200,0.7160
2,0.7165,0.6675,0.0045,0.7210,0.6725,0.7245,0.7060,0.6820
3,0.6635,0.6535,0.6785,0.0000,0.6920,0.6965,0.7045,0.6695
4,0.6620,0.6805,0.6440,0.6965,0.0075,0.7020,0.6690,0.7010
5,0.6800,0.6795,0.6280,0.6750,0.7240,0.0010,0.6860,0.7250
6,0.7060,0.6830,0.6265,0.7200,0.7125,0.7570,0.0100,0.7020
7,0.6475,0.7185,0.6145,0.6660,0.7090,0.7570,0.6830,0.0000
