model,0,1,2,3,4,5,6,7
0,0.0000,0.3965,0.2930,0.3285,0.3805,0.3180,0.3480,0.3515
1,0.5905,0.0000,0.4990,0.5455,0.4515,0.5230,0.3855,0.5215
2,0.5735,0.5495,0.0000,0.6120,0.5530,0.5520,0.4805,0.5775
3,0.2820,0.3225,0.3345,0.0000,0.3135,0.2905,0.3190,0.3170
4,0.5260,0.3810,0.4435,0.4615,0.0000,0.4120,0.4145,0.4910
5,0.5190,0.5445,0.5030,0.5125,0.4425,0.0000,0.4410,0.5090
6,0.5725,0.4410,0.4835,0.5665,0.5110,0.4945,0.0000,0.5010
7,0.3550,0.3675,0.3365,0.3850,0.3960,0.3225,0.2655,0.0000
