model,0,1,2,3,4,5,6,7
0,0.0155,0.0245,0.0775,0.0220,0.0205,0.0120,0.0090,0.0335
1,0.0145,0.0055,0.0625,0.0130,0.0145,0.0120,0.0105,0.0295
2,0.0670,0.0725,0.0160,0.0700,0.0780,0.0480,0.0495,0.0915
3,0.0365,0.0360,0.1005,0.0230,0.0350,0.0270,0.0225,0.0440
4,0.0220,0.0265,0.0850,0.0210,0.0150,0.0210,0.0135,0.0400
5,0.0080,0.0095,0.0415,0.0095,0.0095,0.0025,0.0065,0.0185
6,0.0145,0.0190,0.0805,0.0180,0.0180,0.0125,0.0050,0.0265
7,0.0275,0.0285,0.0845,0.0210,0.0260,0.0200,0.0155,0.0065
