model,0,1,2,3,4,5,6,7
0,0.0020,0.0480,0.0140,0.0170,0.0155,0.0325,0.0300,0.0160
1,0.0380,0.0040,0.0190,0.0280,0.0215,0.0395,0.0440,0.0255
2,0.0220,0.0445,0.0025,0.0150,0.0145,0.0375,0.0315,0.0135
3,0.0285,0.0655,0.0130,0.0045,0.0170,0.0430,0.0280,0.0185
4,0.0200,0.0425,0.0075,0.0125,0.0020,0.0390,0.0265,0.0145
5,0.0290,0.0405,0.0125,0.0190,0.0195,0.0020,0.0350,0.0215
6,0.0400,0.0655,0.0210,0.0260,0.0215,0.0535,0.0050,0.0245
7,0.0240,0.0500,0.0095,0.0170,0.0130,0.0345,0.0295,0.0030
