model,0,1,2,3,4,5,6,7
0,0.4515,0.7845,0.7710,0.6775,0.7465,0.7585,0.7340,0.7805
1,0.8435,0.3935,0.7750,0.8100,0.8380,0.8475,0.8000,0.8540
2,0.8765,0.8445,0.3290,0.8200,0.8435,0.8615,0.8210,0.8710
3,0.7970,0.8180,0.7875,0.2860,0.8190,0.8005,0.8090,0.8485
4,0.7845,0.8180,0.7750,0.7815,0.2115,0.7970,0.7795,0.7785
5,0.7990,0.8200,0.8100,0.7620,0.7775,0.2780,0.7845,0.8170
6,0.8135,0.7950,0.7550,0.7940,0.7955,0.8160,0.2715,0.8260
7,0.7500,0.7815,0.7505,0.7300,0.7220,0.7555,0.7395,0.4890
