model,0,1,2,3,4,5,6,7
0,0.0000,0.5615,0.4715,0.4240,0.5065,0.6455,0.4900,0.4690
1,0.5895,0.0000,0.5760,0.5720,0.5930,0.5855,0.5315,0.5055
2,0.5195,0.5570,0.0000,0.6610,0.5770,0.6240,0.5965,0.5925
3,0.5210,0.5620,0.6770,0.0000,0.6615,0.5650,0.6130,0.5100
4,0.6110,0.6040,0.6450,0.6825,0.0000,0.6675,0.5840,0.6575
5,0.6800,0.5335,0.5880,0.5380,0.6820,0.0000,0.5140,0.6055
6,0.5485,0.4455,0.4900,0.6655,0.5490,0.5750,0.0000,0.6075
7,0.4845,0.5535,0.5605,0.6125,0.5840,0.6710,0.7090,0.0000
