model,0,1,2,3,4,5,6,7
0,0.0125,0.6540,0.6955,0.7175,0.6730,0.7115,0.6980,0.7235
1,0.6125,0.0065,0.6460,0.6720,0.6455,0.6255,0.6520,0.6675
2,0.6575,0.6525,0.0015,0.6915,0.6605,0.6670,0.6485,0.6795
3,0.6085,0.6440,0.6355,0.0030,0.6305,0.6300,0.6105,0.6755
4,0.6810,0.6905,0.7225,0.7180,0.0060,0.7185,0.6725,0.7165
5,0.6750,0.6370,0.6620,0.6675,0.6835,0.0015,0.6730,0.7035
6,0.6870,0.6805,0.6635,0.6990,0.6810,0.7095,0.0020,0.7235
7,0.6730,0.6745,0.6835,0.7155,0.6575,0.7025,0.6685,0.0020
