model,0,1,2,3,4,5,6,7
0,0.0005,0.0205,0.0230,0.0205,0.0230,0.0180,0.0175,0.0155
1,0.0190,0.0000,0.0210,0.0160,0.0235,0.0130,0.0140,0.0155
2,0.0385,0.0335,0.0005,0.0335,0.0350,0.0405,0.0375,0.0325
3,0.0245,0.0210,0.0310,0.0000,0.0250,0.0215,0.0165,0.0165
4,0.0220,0.0180,0.0215,0.0175,0.0000,0.0240,0.0195,0.0195
5,0.0315,0.0235,0.0335,0.0250,0.0375,0.0010,0.0265,0.0315
6,0.0310,0.0255,0.0315,0.0235,0.0375,0.0290,0.0000,0.0295
7,0.0390,0.0275,0.0295,0.0240,0.0405,0.0340,0.0265,0.0010
