model,0,1,2,3,4,5,6,7
0,0.0170,0.8605,0.8395,0.8380,0.8590,0.8470,0.8540,0.8510
1,0.8190,0.0105,0.8345,0.8405,0.8515,0.8440,0.8390,0.8235
2,0.8160,0.8310,0.0465,0.8580,0.8495,0.8245,0.8600,0.8390
3,0.8520,0.8355,0.8190,0.0315,0.8605,0.8405,0.8640,0.8190
4,0.8490,0.8485,0.8245,0.8235,0.0305,0.8015,0.8150,0.8360
5,0.8510,0.8475,0.8535,0.8695,0.8650,0.0055,0.8325,0.8445
6,0.8550,0.8305,0.8475,0.8220,0.8365,0.8105,0.0365,0.8385
7,0.8470,0.8570,0.8350,0.8190,0.8420,0.8225,0.8235,0.0500
