model,0,1,2,3,4,5,6,7
0,0.4170,0.8770,0.8810,0.8685,0.8710,0.8565,0.8625,0.8735
1,0.8455,0.4125,0.8555,0.8510,0.8630,0.8490,0.8480,0.8610
2,0.8475,0.8500,0.4780,0.8730,0.8605,0.8505,0.8520,0.8615
3,0.8650,0.8710,0.8850,0.4945,0.8670,0.8710,0.8770,0.9055
4,0.8850,0.8650,0.8830,0.8670,0.5195,0.8760,0.8530,0.8865
5,0.8420,0.8400,0.8665,0.8525,0.8595,0.4435,0.8505,0.8680
6,0.8555,0.8685,0.8580,0.8775,0.8770,0.8605,0.4385,0.8630
7,0.8500,0.8600,0.8650,0.9035,0.8785,0.8815,0.8580,0.4800
