model,0,1,2,3,4,5,6,7
0,0.0000,0.1485,0.1740,0.1440,0.1770,0.1295,0.1800,0.1240
1,0.1340,0.0005,0.1160,0.1350,0.0995,0.1655,0.1770,0.1010
2,0.2115,0.1500,0.0000,0.1830,0.1945,0.2150,0.2690,0.2080
3,0.1100,0.1220,0.1275,0.0005,0.1235,0.1005,0.1695,0.1065
4,0.1790,0.1090,0.1850,0.1725,0.0010,0.1745,0.2370,0.1100
5,0.1050,0.1605,0.1695,0.1145,0.1335,0.0010,0.1805,0.1025
6,0.0705,0.0890,0.1180,0.1055,0.1310,0.0840,0.0015,0.0895
7,0.1190,0.1095,0.1790,0.1220,0.1095,0.1145,0.1680,0.0005
