model,0,1,2,3,4,5,6,7
0,0.0000,0.8000,0.7400,0.7035,0.7970,0.7030,0.7595,0.7720
1,0.8190,0.0105,0.8470,0.7375,0.8095,0.7120,0.8095,0.7470
2,0.7495,0.7990,0.0030,0.7295,0.6760,0.7255,0.7765,0.6565
3,0.7625,0.6920,0.7380,0.0025,0.7910,0.6720,0.7825,0.6820
4,0.7245,0.8385,0.6245,0.7320,0.0010,0.7980,0.7370,0.7345
5,0.7145,0.7395,0.7215,0.6330,0.7980,0.0000,0.7025,0.7365
6,0.7865,0.8665,0.7000,0.7375,0.7265,0.7265,0.0005,0.7985
7,0.7780,0.7255,0.6815,0.6450,0.7620,0.6825,0.8130,0.0050
