model,0,1,2,3,4,5,6,7
0,0.0005,0.0025,0.0035,0.0065,0.0010,0.0115,0.0140,0.0015
1,0.0150,0.0200,0.0170,0.0345,0.0145,0.0370,0.0570,0.0135
2,0.0050,0.0065,0.0040,0.0140,0.0035,0.0200,0.0350,0.0045
3,0.0025,0.0040,0.0025,0.0000,0.0025,0.0075,0.0140,0.0040
4,0.0020,0.0030,0.0020,0.0120,0.0015,0.0235,0.0410,0.0030
5,0.0020,0.0050,0.0035,0.0095,0.0040,0.0000,0.0185,0.0095
6,0.0025,0.0070,0.0075,0.0095,0.0055,0.0120,0.0000,0.0095
7,0.0035,0.0040,0.0050,0.0145,0.0020,0.0170,0.0280,0.0010
